Unnamed: 0,question,Intent
436,Aku nggak bisa ngomong sama dia yang selalu menyesali aku dan membuat aku jadi kesepian.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
437,"Karena dia orangnya malas dan tidak mau belajar, aku malah jadi sedih karena harus memikul semua tugas sendirian.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
438,Aku tidak suka lagi ngomong sama dia yang selalu mengganggu aku saat aku lagi study.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
439,Aku malah jadi muak banget dengan gaya berpakaian dia yang tidak sopan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
440,Aku tidak mau lagi ngomong sama dia yang selalu berselisih dengan aku tentang hal-hal yang sama-sama tidak penting.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
441,"Aku merasa sedih dan kehilangan kenalan yang aku kira baik, tapi ternyata dia sebenarnya tidak pernah peduli tentang aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
442,Aku nggak bisa lagi ngomong sama dia yang selalu mengancam aku untuk membuat aku takut dan kucel.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
443,Aku malah jadi lebih sedih karena aku tidak bisa berbicara bebas dengan orang yang aku kira bisa dipercaya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
444,"Dia ngomong terlalu banyak tapi tidak pernah mendengarkan aku, aku jadi muak banget dengan dia seperti itu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
445,Aku tidak mau lagi ngomong sama dia yang selalu mengatakan hal-hal yang tidak benar tentangku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
446,Aku merasa duka banget karena temanku yang aku kira baik malah menjadi musuhku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
447,Aku nggak bisa ngomong sama dia yang selalu membandel dan tidak peduli tentang perasaanku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
448,Aku jadi lebih sedih karena aku harus sendirian di rumah sementara teman-temanku liburan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
449,Aku muak banget dengan sifat dia yang kasar dan tidak sopan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
450,Aku tidak mau lagi belajar secara bersama-sama dengan dia karena aku merasa tidak nyaman dengan gaya belajarnya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
451,Aku malah jadi lebih kesepian karena aku tidak bisa bertemu dengan teman-temanku seperti biasanya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
452,Aku nggak bisa ngomong sama dia yang selalu mengatakan hal-hal yang tidak masuk akal tentang kehidupan aku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
453,Aku merasa muak banget dengan perilaku dia yang tidak jujur dan tidak peduli tentang apa yang aku rasakan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
454,Aku nggak bisa lagi ngomong sama dia yang selalu mengejek aku di depan teman-temanku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
455,Aku malah jadi lebih sedih karena aku tidak bisa pergi ke acara yang aku kira bakal asyik.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
456,"Aku ngomong dengan temanku tentang apa yang terjadi, tapi dia malah jadi penasaran dan membuat aku jadi muak.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
457,Aku tidak mau lagi pergi ke tempat itu karena aku merasa tidak nyaman dan jijik sama tempat itu.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
458,Aku merasa sedih dan kehilangan kenalan yang aku kira baik karena dia malah menjadi lawanmu.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
459,"Dia ngomong sangat keras, aku jadi muak banget dengan gaya bicaranya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
460,Aku nggak bisa lagi ngomong sama dia yang selalu mengatakan hal-hal yang tidak benar tentang aku sendiri.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
461,Aku merasa duka banget karena aku harus belajar sendirian sementara teman-temanku liburan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
462,Aku nggak bisa ngomong sama dia yang selalu berbohong dan tidak peduli tentang apa yang aku rasakan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
463,"Aku jengkel banget kalau temen-temen nggak nyampe, aku selalu khawatir kalau mereka ada masalah gitu",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
464,Aku merasa terancam kalau aku tidak bisa lulus semester ini sih,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
465,Aku sangat tidak sabar untuk tahu apa yang aku harus lakukan untuk menyelesaikan proyek ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
466,Aku cemas banget kalau aku tidak bisa mencetak cetak biru yang rapi,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
467,Aku jadi panik ketika aku salah jawab soal dalam ujian,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
468,Aku merasa sangat gugup kalau harus berbicara di depan kelas,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
469,Aku tidak nyaman kalau harus menemui dosen karena aku khawatir dia akan menganugerahkan nilai jelek,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
470,Aku merasa sangat merasa terancam jika aku tidak bisa menyelesaikan tugas ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
471,Aku jengkel banget karena teman-teman nggak ada yang mau bantu aku,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
472,Aku sangat tidak sabar untuk menyelesaikan proyek ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
473,Aku cemas banget kalau aku lulus atau tidak,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
474,Aku merasa sangat gugup ketika aku harus melakukan presentasi di depan kelas,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
475,Aku khawatir kalau aku tidak bisa membuat laporan yang rapi,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
476,Aku jadi panik ketika aku salah jawab pertanyaan dosen,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
477,Aku merasa sangat tidak nyaman kalau harus berbicara di depan orang banyak,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
478,Aku jengkel banget karena pengumuman nilai nggak keluar,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
479,Aku sangat tidak sabar untuk mengetahui hasil nilai aku,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
480,Aku cemas banget kalau aku tidak bisa menyelesaikan tugas kuliah,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
481,Aku merasa sangat gugup ketika aku harus menghadapi ujian akhir,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
482,Aku khawatir kalau aku tidak bisa menyelesaikan proyek kelompok,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
483,Aku merasa sangat tidak nyaman kalau harus menemui orang tua,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
484,Aku sangat merasa terancam jika aku tidak bisa menyelesaikan kuliah,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
485,Aku jengkel banget karena aku tidak bisa menemukan sumber daya yang cukup,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
486,Aku cemas banget kalau aku tidak bisa membuat laporan yang baik,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
487,Aku khawatir kalau aku tidak bisa menyelesaikan ujian dengan nilai yang bagus,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
488,Aku sangat merasa terancam jika aku tidak bisa menyelesaikan kuliah dalam waktu yang ditentukan,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
489,Aku cemas banget kalau aku tidak bisa menyelesaikan proyek kelompok,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
490,Aku khawatir kalau aku tidak bisa menyelesaikan kuliah dengan nilai yang baik,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
491,"Kamu itu nggak bisa dipercaya sih, kalau kamu bilang kamu bisa menyelesaikan tugasnya tepat waktu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
492,"Kamu kayak gak ada malu, ngajak aku makan di warung itu, tempatnya kayak gitu jijik, kelas!",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
493,"Aku enggan membantu kamu lagi, kamu selalu nggak jujur, ngaku nggak tahu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
494,"Aku kaget banget, kamu nggak bisa menyelesaikan tugasnya sendiri, aku harus melakukannya untuk kamu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
495,"Kita kayak gak pernah bertemu sebelumnya, tapi kamu sudah mengenal aku banget, kayak gitu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
496,"Aku muak banget, kamu selalu bicara tentang diri sendiri, nggak peduli apa yang aku katakan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
497,"Kamu kayak nggak punya rasa malu, bilang kamu bisa melihat aku melalui jendela, tapi aku sendiri yang tidak bisa.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
498,"Kamu kayak gak pernah belajar, nggak bisa menyelesaikan soal sederhana.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
499,"Kita kayak gak bisa menjadi teman, aku selalu mengatakan hal yang tepat, tapi kamu tidak mau mendengarkan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
500,"Kamu kayak gak punya rasa peduli, nggak tahu aku sedang merasa sakit.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
501,"Kamu kayak nggak punya rasa syukur, selalu mengeluh tentang kehidupan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
502,"Aku benci banget, kamu selalu mengganggu aku ketika aku sedang berfokus.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
503,"Aku enggan pergi ke tempat yang kamu sarankan, kamu kayak gak pernah pergi ke sana.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
504,"Aku kaget banget, kamu bilang kamu bisa membuat keputusan besar tanpa pertimbangan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
505,"Kita kayak gak pernah memiliki kepentingan yang sama, kamu selalu melakukan hal yang berlawanan dengan aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
506,"Aku muak banget, kamu selalu meminta bantuan, tapi tidak pernah mengucapkan terima kasih.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
507,"Kamu kayak nggak punya rasa hormat, mengatakan aku adalah orang terakhir dalam prioritas kamu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
508,"Kita kayak gak pernah memiliki kepercayaan yang sama, kamu tidak pernah bisa mengerti aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
509,"Aku benci banget, kamu selalu mengatakan bahwa aku salah, tapi kamu sendiri yang salah.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
510,"Aku kaget banget, kamu bilang kamu bisa menyelesaikan pekerjaan yang sulit tanpa bantuan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
511,"Kita kayak gak bisa menjadi keluarga, kamu selalu melakukan hal yang membuat aku kecewa.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
512,"Aku muak banget, kamu selalu mengeluh tentang kehidupan, tanpa pernah mencoba memperbaikinya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
513,"Kamu kayak nggak punya rasa kasih sayang, mengatakan aku bukanlah orang yang kamu sayangi.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
514,"Aku kaget banget, kamu bilang kamu bisa melihat masa depan, tapi aku sendiri yang tidak bisa.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
515,"Kita kayak gak bisa menjadi sahabat, kamu selalu mengatakan hal yang tidak sopan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
516,Aku rasa lega bisa melewati ujian kali ini,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
517,Aku sangat berterima kasih karena konselor yang sudah membantu aku mengatasi kekhawatiran sebelum ujian,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
518,Aku siap karena aku sudah mempersiapkan mentalnya sebelum masuk ke dalam kehidupan universitas,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
519,Aku merasa lebih baik setelah mendengar nasihat konselor tentang bagaimana menghadapi tekanan,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
520,Aku tidak sabar ingin mencoba rencana yang baru setelah berkonsultasi dengan konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
521,Aku sangat senang bisa menemukan jalan keluar dari masalah-masalah saya dengan bantuan konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
522,Aku merasa ringan hati karena aku bisa membagikan pengalaman dan niat menghadapi masalah dengan konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
523,Aku tidak akan melupakan kasih sayang konselor yang selalu mendukung aku,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
524,"Aku sih agak khawatir tentang nanti-tidaknya saya bisa menyelesaikan kuliah, tapi konselor sudah menjelaskan bahwa aku bisa",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
525,Aku sangat berterima kasih kepada konselor karena telah membantu aku mengatasi perasaan malu dan minder,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
526,Aku rasa lega bisa menemukan jawaban atas pertanyaan saya di dalam hati,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
527,Aku siap menghadapi masa depan dengan rencana dan niat yang sudah aku siapkan bersama konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
528,Aku merasa lega karena aku bisa memiliki kekuatan untuk menghadapi tantangan,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
529,Aku terima kasih karena konselor selalu mendengarkan dan memberi nasihat yang tepat,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
530,Aku sangat berterima kasih karena aku bisa melewati kehidupan kuliah ini tanpa harus berharap pada lain,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
531,Aku rasa lega bisa memiliki konselor yang selalu mendukung dan memberi motivasi,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
532,Aku sangat senang bisa menemukan tempat di mana aku bisa berbagi dan mendapatkan saran dari konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
533,"Aku sih agak khawatir tentang masa depan, tapi aku rasa lega karena aku punya rencana dan niat yang sudah aku siapkan",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
534,Aku tidak akan melupakan dukungan dan kasih sayang konselor yang selalu ada di sampingku,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
535,Aku merasa ringan hati karena aku bisa membagikan kekhawatiran dan kegelisahan dengan konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
536,Aku sangat berterima kasih karena aku bisa menemukan kekuatan untuk menghadapi tantangan dan kehidupan,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
537,Aku rasa lega karena aku punya saran dan nasihat dari konselor yang bisa aku ikuti,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
538,Aku terima kasih karena konselor selalu membantu aku mengatasi kekhawatiran dan kegelisahan,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
539,"Aku sih agak khawatir tentang nanti-tidaknya saya bisa menemukan pekerjaan, tapi aku rasa lega karena aku punya rencana",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
540,Aku merasa lebih baik setelah berkonsultasi dengan konselor tentang bagaimana menghadapi kehidupan kuliah,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
541,Aku rasa lega karena aku punya kekuatan untuk menghadapi tantangan dan kehidupan,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
542,Aku merasa ringan hati karena aku bisa membagikan pengalaman dan saran dengan konselor,Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
543,"Aku sih agak khawatir tentang masa depan, tapi aku rasa lega karena aku punya rencana",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
544,"Aku lagi nggak enak, sakit kepala banget, dan aku merasa butuh bantuan dari konselor",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
545,"Aku mual dan pusing, mungkin aku butuh teman konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
546,"Aku terus-menerus merasa gelisah, nyeri kepala, dan aku butuh saran dari psikolog",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
547,"Aku merasa sedih setelah kejadian lalu, sakit perut, dan aku butuh teman yang dapat mendengarkan",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
548,"Aku merasa tidak enak badan, sakit tenggorok, dan aku butuh bantuan dari dokter",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
549,"Aku lagi stres dengan pekerjaan dan ujian, sakit kepala, dan aku butuh saran dari konselor",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
550,"Aku merasa tidak nyaman dengan diri sendiri, sakit dada, dan aku butuh dukungan dari konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
551,Aku butuh teman untuk mendengarkan dan membantu aku mengatasi stres,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
552,"Aku merasa pusing dan lelah, dan aku butuh bantuan dari profesional",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
553,"Aku merasa sakit perut dan terlalu stres, butuh konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
554,Aku butuh saran dari teman konseling untuk mengatasi masalah perasaan,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
555,"Aku merasa tidak enak badan, sakit kepala, dan aku butuh dokter",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
556,Aku butuh teman yang dapat mendengarkan dan membantu aku mengatasi kesedihan,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
557,"Aku merasa pusing dan mual, butuh bantuan dari konselor",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
558,Aku butuh saran dari psikolog untuk mengatasi masalah kepercayaan diri,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
559,"Aku terus-menerus merasa gelisah, sakit kepala, dan aku butuh teman konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
560,Aku butuh bantuan dari profesional untuk mengatasi masalah perasaan,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
561,"Aku merasa gelisah dan stres, sakit kepala, dan aku butuh konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
562,Aku butuh teman untuk mendengarkan dan membantu aku mengatasi masalah perasaan,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
563,Aku butuh bantuan dari profesional untuk mengatasi masalah kepercayaan diri,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
564,"Aku merasa pusing dan mual, butuh konseling",Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
565,Aku butuh saran dari psikolog untuk mengatasi masalah perasaan,Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
566,"Aku gugup banget kalau harus berdiri di depan kelas nanti, seperti aku akan kehilangan kontrol dan tidak berharga di hadapan teman-temanku.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
567,"Aku merasa sedih dan khawatir ketika aku tidak bisa mengerjakan tugas yang diberikan, seperti aku kehilangan arah dan tidak tahu apa yang harus aku lakukan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
568,"Aku merasa panik ketika aku tahu deadline yang mendekat, seperti aku sedang terancam kehilangan kesempatan dan tidak bisa mencapai tujuan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
569,"Aku merasa sedih dan tidak berharga ketika aku gagal dalam ujian, seperti aku kehilangan harapan dan tidak bisa mencapai impian.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
570,"Aku merasa cemas dan gugup ketika aku harus menghadapi sesuatu yang baru, seperti aku sedang terancam dan tidak tahu apa yang harus aku lakukan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
571,"Aku merasa sedih dan kehilangan kontrol ketika aku tidak bisa mengontrol diri sendiri, seperti aku tidak berharga dan tidak bisa mencapai tujuan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
572,"Aku merasa takut dan tidak yakin ketika aku harus membuat keputusan yang sulit, seperti aku sedang terancam dan tidak tahu apa yang harus aku lakukan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
573,"Aku merasa sedih dan tidak berharga ketika aku tidak bisa memenuhi harapan orang lain, seperti aku kehilangan kontrol dan tidak bisa mencapai tujuan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
574,"Aku merasa panik dan gugup ketika aku harus menghadapi ujian yang sulit, seperti aku sedang terancam kehilangan kesempatan dan tidak bisa mencapai impian.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
575,"Aku merasa sedih dan kehilangan harapan ketika aku gagal dalam hal yang aku cintai, seperti aku tidak berharga dan tidak bisa mencapai tujuan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
576,"Aku merasa cemas dan takut ketika aku tidak bisa mengontrol situasi, seperti aku sedang terancam dan tidak tahu apa yang harus aku lakukan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
577,"Aku merasa cemas dan panik ketika aku harus menghadapi situasi yang tidak pasti, seperti aku sedang terancam kehilangan kesempatan dan tidak bisa mencapai tujuan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
578,"Aku bingung sih apa yang harus kulakukan saat kuliah, bisa kamu saranin apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
579,"Aku rasa aku harus bersiap untuk menghadapi ujian nanti, kayaknya aku butuh fokus lebih lagi dalam belajar.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
580,"Aku nggak tahu harus mulai dari mana nanti kalau aku ingin kuliah di luar negeri, bisa kamu bantu aku ya?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
581,Aku pikir aku harus antisipasi keuangan nanti kalau aku tidak bisa kerja setelah lulus kuliah.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
582,"Aku rasa aku sudah siap mental untuk menghadapi tantangan kuliah, tapi aku masih perlu bantuan dari kamu sih.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
583,"Aku niatnya ingin kuliah di jurusan yang berbeda, tapi aku harus siap untuk perubahan itu, apa kamu setuju?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
584,"Aku nggak tahu harus bagaimana cara mengemukakan opini tentang isu sosial di kampus, kamu bisa saranin apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
585,"Aku pikir aku harus meminta bantuan dari dosen saya untuk memahami materi yang sulit, apakah itu baik?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
586,Aku rasa aku lebih percaya diri untuk menghadapi presentasi nanti kalau aku sudah siap mental dan fisik.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
