Perasaan Benci dan Jijik,Perasaan Percaya,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian
Saya tidak bisa membantu merasa muak ketika berada di dekat orang-orang yang selalu mengeluh.,,,,,,,
Mendengar nada suara ibu saya yang selalu menyalahkan saya membuat aku merasa ingin menjauh darinya.,,,,,,,
"Setiap kali aku melihat wajahnya, aku tidak bisa menahan perasaan benci yang mendalam.",,,,,,,
Aku merasa tidak nyaman ketika harus berinteraksi dengan seseorang yang selalu membuat aku merasa rendah diri.,,,,,,,
"Saya merasa lelah dengan perlakuan yang tidak adil dari atasan saya, sehingga aku ingin menghindarinya.",,,,,,,
Aku tidak bisa menerima kenyataan bahwa aku harus berbagi ruangan dengan seseorang yang sangat tidak aku sukai.,,,,,,,
"Setiap kali aku teringat kejadian itu, aku merasa jijik dan ingin melupakannya.",,,,,,,
Saya merasa tidak nyaman ketika harus berbicara dengan seseorang yang selalu mengkritik keputusan saya.,,,,,,,
Aku merasa muak ketika mendengar seseorang yang selalu membual tentang keberhasilannya.,,,,,,,
Saya tidak ingin berada di dekat seseorang yang selalu membuat aku merasa tidak cukup baik.,,,,,,,
Aku merasa benci ketika mendengar seseorang yang selalu menyerang kelemahan orang lain.,,,,,,,
Mendengar suara-suara yang selalu mengatakan bahwa aku tidak cukup baik membuat aku merasa ingin menghindarinya.,,,,,,,
Aku merasa jijik ketika melihat seseorang yang selalu melakukan tindakan yang tidak etis.,,,,,,,
Saya tidak bisa membantu merasa muak ketika berada di dekat seseorang yang selalu mengeluh tentang hidupnya.,,,,,,,
Aku merasa benci ketika mendengar seseorang yang selalu menyerang orang lain tanpa alasan yang jelas.,,,,,,,
Saya merasa tidak nyaman ketika harus berbicara dengan seseorang yang selalu membuat aku merasa tidak percaya diri.,,,,,,,
Aku merasa ingin menjauhkan diri dari seseorang yang selalu membuat aku merasa tidak cukup baik.,,,,,,,
Saya merasa muak ketika mendengar seseorang yang selalu membual tentang kekayaannya.,,,,,,,
Saya merasa sangat tidak nyaman ketika harus berinteraksi dengan orang yang telah menyakiti saya di masa lalu.,,,,,,,
Aku tidak bisa membayangkan harus bekerja sama dengan seseorang yang memiliki nilai-nilai yang sangat berbeda dengan saya.,,,,,,,
Perasaan muak itu muncul setiap kali saya harus menghadapi situasi yang sama berulang-ulang.,,,,,,,
Saya merasa jijik ketika melihat seseorang yang hanya memikirkan diri sendiri dan tidak peduli dengan orang lain.,,,,,,,
Aku benci quando orang lain mencoba mengendalikan hidup saya.,,,,,,,
Saya merasa sangat kesal ketika seseorang tidak menghargai waktu dan usaha saya.,,,,,,,
Saya tidak bisa menerima bahwa saya harus berbagi ruang dengan seseorang yang sangat berbeda dengan saya.,,,,,,,
Aku merasa sangat tidak nyaman ketika harus berbicara tentang masalah pribadi dengan orang yang tidak saya kenal.,,,,,,,
Perasaan benci itu muncul setiap kali saya melihat seseorang yang telah menyakiti orang yang saya cintai.,,,,,,,
Aku tidak bisa membayangkan harus hidup tanpa kebebasan dan harus selalu mengikuti perintah orang lain.,,,,,,,
Saya merasa sangat tidak suka ketika seseorang mencoba mengubah saya menjadi seperti mereka.,,,,,,,
Aku benci ketika orang lain tidak menghargai perasaan dan pendapat saya.,,,,,,,
Saya merasa sangat muak ketika harus menghadapi situasi yang sama berulang-ulang tanpa ada perubahan.,,,,,,,
Saya tidak bisa menerima bahwa saya harus berinteraksi dengan seseorang yang sangat tidak saya sukai.,,,,,,,
Aku merasa sangat tidak nyaman ketika harus berbicara dengan seseorang yang memiliki nada suara yang sangat menjengkelkan.,,,,,,,
Perasaan benci itu muncul setiap kali saya melihat seseorang yang telah mengecewakan saya.,,,,,,,
Aku tidak bisa membayangkan harus hidup dalam ketakutan dan harus selalu menyembunyikan diri dari orang lain.,,,,,,,
Saya merasa sangat tidak suka ketika ada orang yang mencampuri urusan pribadi saya.,,,,,,,
Aku benar-benar muak dengan cara berbicara teman saya yang selalu menghakimi orang lain.,,,,,,,
Saya tidak bisa menerima kenyataan bahwa saya harus hidup dengan orang tua yang sangat konservatif.,,,,,,,
"Setiap kali saya melihat wajahnya, saya merasa ingin menjauh dan tidak ingin berbicara dengannya.",,,,,,,
Saya merasa jijik ketika saya harus makan makanan yang tidak saya sukai di rumah.,,,,,,,
Aku merasa sangat tidak nyaman ketika ada orang yang selalu mengkritik penampilan saya.,,,,,,,
Saya tidak ingin bergaul dengan orang-orang yang hanya memikirkan diri sendiri.,,,,,,,
Saya merasa sangat marah ketika saya diabaikan oleh orang-orang yang seharusnya peduli dengan saya.,,,,,,,
Aku benar-benar tidak suka ketika ada orang yang mencoba mengendalikan hidup saya.,,,,,,,
Saya merasa sangat tidak suka dengan pekerjaan saya yang terlalu monoton dan membosankan.,,,,,,,
Saya tidak bisa menerima kenyataan bahwa saya harus hidup dengan kondisi yang tidak memuaskan.,,,,,,,
Aku merasa sangat tidak nyaman ketika ada orang yang selalu membandingkan saya dengan orang lain.,,,,,,,
Saya merasa jijik ketika saya harus berhadapan dengan orang yang sangat tidak sopan.,,,,,,,
Saya tidak ingin berbicara dengan orang yang hanya ingin mendengar suara mereka sendiri.,,,,,,,
Saya merasa sangat tidak suka ketika saya dikecewakan oleh orang yang saya percayai.,,,,,,,
Aku benar-benar muak dengan cara hidup orang tua saya yang terlalu konservatif dan tidak memahami saya.,,,,,,,
Saya merasa sangat tidak nyaman ketika ada orang yang selalu mencoba mengubah saya menjadi orang lain.,,,,,,,
Saya merasa sangat marah ketika saya dihakimi oleh orang lain tanpa mereka memahami situasi saya.,,,,,,,
Aku merasa sangat tidak suka ketika saya harus menghadapi situasi yang tidak adil dan tidak memuaskan.,,,,,,,
Saya merasa sangat tidak nyaman ketika dia hadir di ruangan yang sama dengan saya.,,,,,,,
Aku tidak bisa membayangkan harus bekerja sama dengan orang seperti itu lagi.,,,,,,,
Perbuatan dia benar-benar membuatku muak dan tidak ingin berinteraksi lagi.,,,,,,,
Saya merasa jijik ketika mengingat apa yang dia lakukan kepada saya.,,,,,,,
"Setiap kali saya melihat wajahnya, saya merasa ingin menutup mata dan berlari.",,,,,,,
Saya merasa kecewa dan benci ketika saya tidak dapat berbicara apa adanya dengan dia.,,,,,,,
Dia selalu mengatakan hal-hal yang tidak enak didengar dan itu membuat saya merasa tidak nyaman.,,,,,,,
Saya merasa tidak ingin mendengarkan apa yang dia katakan lagi karena itu membuatku merasa sakit.,,,,,,,
Saya merasa sangat marah dan benci ketika saya mengingat apa yang dia lakukan.,,,,,,,
Saya tidak ingin berada di dekatnya karena saya merasa tidak aman.,,,,,,,
Aku merasa sangat tidak suka ketika dia mencoba untuk mendekatkan diri kepada saya.,,,,,,,
Saya merasa ingin melarikan diri ketika saya harus berhadapan dengan dia.,,,,,,,
Perilakunya benar-benar membuatku merasa jijik dan tidak ingin berinteraksi lagi.,,,,,,,
Saya merasa kecewa dan benci ketika saya tidak dapat melakukan apa yang saya inginkan karena dia.,,,,,,,
Saya merasa tidak ingin berbicara dengan dia lagi karena itu membuatku merasa lelah.,,,,,,,
Saya merasa sangat tidak suka ketika dia mencoba untuk mengontrol saya.,,,,,,,
Aku merasa sangat marah dan benci ketika saya mengingat apa yang dia katakan tentang saya.,,,,,,,
Saya merasa ingin menghindar ketika saya harus berhadapan dengan situasi yang sama dengan dia.,,,,,,,
Saya merasa tidak ingin mendengarkan lagi alasan-alasan dia karena itu membuatku merasa tidak percaya.,,,,,,,
Aku merasa sangat tidak nyaman ketika dia mulai memuji dirinya sendiri di depan banyak orang.,,,,,,,
Saya selalu merasa jijik ketika melihatnya makan dengan cara yang tidak sopan.,,,,,,,
"Setiap kali dia menyentuhku, aku merasa ingin membersihkan tangan ini berkali-kali.",,,,,,,
"Dia selalu mengkritik orang lain, itu membuatku sangat tidak suka.",,,,,,,
Saya merasa muak ketika dia terus-menerus meminta bantuan tanpa mau berusaha sendiri.,,,,,,,
Aku merasa benci ketika dia berbohong tentang sesuatu yang seharusnya tidak perlu dibohongi.,,,,,,,
Saya tidak bisa menerima bahwa dia masih bisa tersenyum setelah melakukan kesalahan besar.,,,,,,,
"Ketika dia mulai berbicara tentang.topik yang tidak kusenangi, aku langsung merasa tidak nyaman.",,,,,,,
Saya merasa sangat enggan untuk bekerja sama dengannya karena sikapnya yang tidak profesional.,,,,,,,
Aku merasa jijik ketika melihatnya membuang sampah sembarangan di jalan.,,,,,,,
"Setiap kali kita bertemu, aku merasa seperti ingin melarikan diri dari situasi itu.",,,,,,,
Saya tidak bisa menolerir bahwa dia masih belum meminta maaf setelah apa yang dia lakukan.,,,,,,,
Aku merasa muak ketika dia terus-menerus mengeluh tentang hal-hal yang tidak penting.,,,,,,,
Saya merasa benci ketika dia menghakimi orang lain tanpa mencoba memahami mereka.,,,,,,,
"Ketika dia mulai membicarakan tentang kebaikan dirinya sendiri, aku langsung merasa tidak tertarik.",,,,,,,
Saya tidak ingin berada di sekitar orang yang memiliki sikap kasar seperti itu.,,,,,,,
Aku merasa sangat tidak suka ketika dia memperlakukan orang lain dengan tidak adil.,,,,,,,
Saya merasa jijik ketika melihatnya melakukan tindakan yang tidak bermoral.,,,,,,,
Aku merasa enggan untuk memercayai dia lagi setelah apa yang dia lakukan.,,,,,,,
"Saya merasa sangat tidak nyaman ketika dia berada di dekat saya, sehingga saya cenderung menghindari situasi tersebut.",,,,,,,
"Perasaan tidak suka itu muncul ketika dia mulai mengkritik saya di depan orang lain, itu sangat menyakitkan.",,,,,,,
"Saya tidak bisa membantu merasa jijik ketika melihatnya, seperti ada sesuatu yang tidak beres dalam dirinya.",,,,,,,
"Kadang-kadang saya merasa muak dengan cara dia berbicara, terlalu banyak omong kosong.",,,,,,,
Saya lebih suka menghabiskan waktu sendiri daripada bersama orang-orang yang hanya membuat saya merasa tidak nyaman.,,,,,,,
"Setiap kali dia menghubungi saya, saya merasa terbebani dan tidak ingin berbicara dengannya.",,,,,,,
"Saya merasa sangat kesal ketika dia tidak mempedulikan perasaan saya, itu seperti dia tidak peduli sama sekali.",,,,,,,
Perasaan benci ini membuat saya ingin menjauhkan diri dari semua yang terkait dengannya.,,,,,,,
"Saya merasa jijik ketika melihatnya berbohong, itu seperti dia tidak memiliki hati nurani.",,,,,,,
Kadang-kadang saya merasa lelah dengan semua konflik yang terjadi karena ulahnya.,,,,,,,
"Saya tidak suka ketika dia mencoba memanipulasi saya, itu seperti dia tidak menghargai kebebasan saya.",,,,,,,
Perasaan enggan ini membuat saya ingin menghindari situasi yang melibatkan dia.,,,,,,,
"Saya merasa tidak nyaman ketika dia mulai mengkritik kepercayaan saya, itu seperti dia tidak menghargai keyakinan saya.",,,,,,,
"Saya lebih suka tidak berinteraksi dengan dia, karena itu hanya membuat saya merasa tidak enak.",,,,,,,
"Ketika dia berbicara, saya merasa seperti tidak ingin mendengarnya lagi, itu seperti ada sesuatu yang tidak beres.",,,,,,,
"Perasaan muak ini membuat saya ingin menghindari semua yang terkait dengannya, termasuk kenangan kita bersama.",,,,,,,
"Saya merasa sangat tidak suka ketika dia mencoba mengontrol saya, itu seperti dia tidak percaya bahwa saya dapat mengambil keputusan sendiri.",,,,,,,
"Saya merasa jijik ketika melihatnya berlaku tidak adil, itu seperti dia tidak memiliki rasa keadilan.",,,,,,,
"Saya tidak suka ketika dia mencoba membandingkan saya dengan orang lain, itu seperti dia tidak menghargai keunikan saya.",,,,,,,
"Saya merasa sangat kesal ketika dia tidak mempedulikan perasaan saya, itu seperti dia tidak peduli sama sekali tentang kesejahteraan saya.",,,,,,,
Saya merasa sangat tidak nyaman ketika harus berbicara dengan orang tersebut.,,,,,,,
"Setiap kali melihatnya, saya langsung merasa tidak enak dan ingin pergi.",,,,,,,
"Aku jijik dengan cara mereka memperlakukan orang lain, terlalu egois dan tidak peduli.",,,,,,,
Saya tidak bisa membayangkan harus hidup dengan seseorang yang memiliki sifat seperti itu.,,,,,,,
Rasanya seperti ada yang mengganjal di tenggorokan ketika saya harus berinteraksi dengan mereka.,,,,,,,
Saya merasa muak dengan semua kebohongan yang mereka katakan.,,,,,,,
"Saya tidak ingin menjadi seperti mereka, tidak punya hati dan hanya peduli dengan diri sendiri.",,,,,,,
Aku merasa tersakiti dan tidak ingin lagi berhubungan dengan orang-orang seperti itu.,,,,,,,
"Setiap kali melihat wajahnya, saya langsung merasa marah dan benci.",,,,,,,
Saya merasa tidak bisa percaya lagi dengan siapa pun setelah apa yang mereka lakukan.,,,,,,,
"Aku jijik dengan cara mereka hidup, tidak bertanggung jawab dan hanya memikirkan kesenangan diri sendiri.",,,,,,,
"Saya merasa sangat kesal dengan semua yang mereka lakukan, tidak ada satupun yang benar.",,,,,,,
Saya tidak bisa menerima bahwa mereka bisa begitu kejam dan tidak peduli dengan perasaan orang lain.,,,,,,,
Aku merasa seperti ingin lari dan meninggalkan semua masalah ini di belakang.,,,,,,,
Saya merasa sangat tidak nyaman dengan sikap mereka yang selalu mengkritik dan menjudge orang lain.,,,,,,,
"Saya tidak ingin menjadi bagian dari lingkaran mereka, terlalu banyak kebencian dan permusuhan.",,,,,,,
"Aku jijik dengan cara mereka berbicara, penuh kebencian dan tidak ada rasa hormat.",,,,,,,
"Saya merasa seperti ingin membalas dendam, tetapi saya tahu itu tidak benar.",,,,,,,
"Saya merasa sangat sedih dengan semua yang terjadi, rasanya seperti tidak ada harapan lagi.",,,,,,,
Saya tidak bisa membayangkan harus hidup di dunia yang penuh dengan kebencian dan permusuhan seperti ini.,,,,,,,
"Aku merasa jijik setiap kali melihat wajahnya, itu membuatku ingin lari dan menyembunyikan diri.",,,,,,,
"Saya sangat muak dengan cara orang tua saya memperlakukan saya, seperti saya tidak memiliki perasaan.",,,,,,,
"Kadang saya merasa enggan untuk berbicara dengan siapa pun, karena takut akan penolakan dan kebencian.",,,,,,,
"Aku merasa terjebak dalam situasi yang tidak bisa kulakukan apa-apa, itu membuatku sangat benci pada diri sendiri.",,,,,,,
"Saya merasa tidak nyaman ketika ada orang yang terlalu dekat dengan saya, itu membuatku merasa terkurung.",,,,,,,
"Aku sangat kecewa dengan pilihan yang saya buat, sekarang saya merasa terjebak dan tidak tahu harus berbuat apa.",,,,,,,
"Saya merasa jijik dengan kebiasaan buruk saya sendiri, itu membuatku ingin berubah tapi tidak tahu bagaimana.",,,,,,,
"Aku merasa tidak bisa menerima diri saya sendiri, itu membuatku merasa benci dan ingin menghancurkan diri sendiri.",,,,,,,
"Saya merasa sangat tidak nyaman ketika harus berhadapan dengan orang yang saya benci, itu membuatku merasa ingin lari.",,,,,,,
"Aku merasa kehilangan kendali atas hidup saya, itu membuatku merasa benci pada keadaan dan ingin mengubah semuanya.",,,,,,,
Saya merasa terlalu banyak tekanan dan itu membuatku merasa ingin menyerah dan tidak peduli lagi.,,,,,,,
"Aku merasa jijik dengan cara orang lain memperlakukan saya, seperti saya tidak memiliki harga diri.",,,,,,,
"Saya merasa tidak bisa memaafkan diri sendiri atas kesalahan yang sudah dilakukan, itu membuatku merasa benci.",,,,,,,
"Aku merasa terkurung dalam dunia yang tidak saya sukai, itu membuatku merasa ingin melarikan diri.",,,,,,,
"Saya merasa sangat muak dengan semua yang terjadi, itu membuatku merasa ingin berhenti dan tidak melanjutkan lagi.",,,,,,,
Aku merasa kehilangan harapan dan itu membuatku merasa benci pada diri sendiri dan keadaan.,,,,,,,
"Saya merasa tidak bisa menghadapi kenyataan, itu membuatku merasa ingin menghindar dan tidak menghadapinya.",,,,,,,
"Aku merasa jijik dengan semua yang saya lihat, itu membuatku merasa ingin menutup mata dan tidak melihat lagi.",,,,,,,
"Saya merasa sangat tidak nyaman dengan keadaan yang terjadi, itu membuatku merasa ingin mengubah semuanya.",,,,,,,
"Aku merasa benci pada diri sendiri karena tidak bisa mengontrol emosi, itu membuatku merasa ingin berteriak dan meledak.",,,,,,,
Aku benar-benar muak dengan perilaku adik saya yang selalu mengganggu saya.,,,,,,,
Saya tidak bisa menerima bahwa orang tua saya memilih untuk tidak mendukung keputusan saya.,,,,,,,
"Ketika saya melihatnya, saya hanya merasa jijik dan ingin pergi dari sana secepat mungkin.",,,,,,,
Saya tidak ingin berhubungan dengan seseorang yang hanya memikirkan diri sendiri dan tidak peduli dengan perasaan orang lain.,,,,,,,
Aku merasa sangat kesal ketika orang lain tidak memahami saya dan selalu menghakimi saya.,,,,,,,
Saya merasa terjebak dalam situasi yang tidak saya inginkan dan itu membuat saya sangat tidak bahagia.,,,,,,,
Saya tidak suka ketika orang lain mencampuri urusan saya dan mencoba mengatur hidup saya.,,,,,,,
Aku merasa sangat marah ketika orang lain tidak memperlakukan saya dengan hormat dan tidak memahati saya.,,,,,,,
Saya merasa sangat tidak nyaman ketika harus berada di dekat seseorang yang memiliki perilaku yang sangat menjijikkan.,,,,,,,
Saya tidak ingin menjadi bagian dari kelompok yang hanya memikirkan kepentingan diri sendiri dan tidak peduli dengan kebaikan orang lain.,,,,,,,
Aku merasa sangat kecewa ketika orang yang saya percayai tidak menepati janji mereka.,,,,,,,
Saya merasa sangat tidak bahagia ketika saya harus berinteraksi dengan seseorang yang memiliki sikap yang sangat negatif.,,,,,,,
Saya tidak suka ketika orang lain tidak mempercayai saya dan selalu meragukan kemampuan saya.,,,,,,,
Saya merasa sangat tidak nyaman ketika harus berada di tempat yang sangat bising dan tidak nyaman.,,,,,,,
"Aku tidak bisa menerima keputusan itu, rasanya seperti ditipu.",,,,,,,
"Setiap kali saya melihat wajahnya, saya merasa muak dan ingin lari.",,,,,,,
Perasaan benci ini membuat saya ingin menghindari semua orang.,,,,,,,
Saya merasa terjebak dalam situasi yang sangat tidak menyenangkan dan membuat saya ingin menangis.,,,,,,,
Aku tidak mau lagi berbicara dengan orang yang telah menyakiti saya.,,,,,,,
Rasa sakit hati ini masih terasa sampai sekarang dan membuat saya merasa jijik.,,,,,,,
Saya merasa seperti tidak bisa bernapas ketika saya berada di dekat mereka.,,,,,,,
Aku merasa sangat kecewa dengan diri sendiri karena tidak bisa menghindari kesalahan yang sama.,,,,,,,
"Setiap kali saya mengingat kejadian itu, saya merasa sangat muak dan ingin melupakan.",,,,,,,
Saya merasa seperti hidup dalam mimpi buruk yang tidak bisa saya bangunkan.,,,,,,,
Aku tidak bisa menerima kenyataan bahwa saya harus hidup dengan orang yang saya benci.,,,,,,,
Rasa tidak terima ini membuat saya ingin melakukan sesuatu yang drastis.,,,,,,,
Saya merasa seperti saya tidak punya pilihan lain selain menerima keadaan yang tidak menyenangkan ini.,,,,,,,
Aku merasa sangat jijik dengan cara mereka berbicara dan bersikap.,,,,,,,
Saya tidak bisa menerima bahwa saya harus berbagi ruang dengan orang yang saya tidak sukai.,,,,,,,
Aku merasa sangat muak dengan kebohongan yang terus-menerus terjadi di sekitar saya.,,,,,,,
Saya merasa seperti saya tidak bisa lagi percaya siapa pun karena rasa benci ini.,,,,,,,
Aku merasa sangat terganggu dengan kehadiran mereka dan ingin mereka pergi.,,,,,,,
Saya merasa seperti saya tidak punya tempat untuk bersembunyi dari rasa benci ini.,,,,,,,
Aku merasa sangat muak ketika melihat orang yang selalu membandingkan diriku dengan orang lain.,,,,,,,
Saya tidak bisa menerima fakta bahwa saya harus bekerja sama dengan orang yang pernah menyakiti saya.,,,,,,,
"Kalau dipikir-pikir, aku masih merasa jijik dengan cara dia berbicara tentangku di belakangku.",,,,,,,
Saya merasa tidak nyaman ketika harus berinteraksi dengan seseorang yang memiliki kebiasaan yang sangat mengganggu.,,,,,,,
Aku benci saat orang lain mencampuri urusan pribadi saya tanpa izin.,,,,,,,
Saya merasa penolakan yang sangat kuat ketika harus menghadapi situasi yang membuat saya merasa tidak aman.,,,,,,,
Aku merasa sangat marah ketika melihat orang lain melakukan kesalahan yang sama berulang-ulang.,,,,,,,
Saya tidak ingin berada di sekitar orang yang selalu berbicara negatif tentang diri sendiri.,,,,,,,
Aku merasa jijik ketika melihat seseorang yang tidak memiliki empati terhadap orang lain.,,,,,,,
Saya merasa sangat enggan untuk memaafkan seseorang yang telah menyakiti saya secara深.,,,,,,,
"Kalau dipikir-pikir, aku masih merasa benci terhadap orang yang pernah memanfaatkan kepercayaan saya.",,,,,,,
Saya merasa tidak nyaman ketika harus berinteraksi dengan seseorang yang memiliki pandangan yang sangat berbeda dengan saya.,,,,,,,
Aku merasa sangat muak ketika melihat orang lain yang tidak peduli dengan kebutuhan orang lain.,,,,,,,
Saya tidak ingin berada di sekitar orang yang selalu berbicara tentang kelemahan orang lain.,,,,,,,
Aku merasa jijik ketika melihat seseorang yang tidak memiliki tanggung jawab atas tindakannya.,,,,,,,
Saya merasa sangat enggan untuk mempercayai seseorang yang telah membohongi saya sebelumnya.,,,,,,,
Aku merasa sangat benci ketika melihat orang lain yang tidak memiliki rasa hormat terhadap orang lain.,,,,,,,
Saya merasa sangat muak ketika harus berinteraksi dengan orang tersebut.,,,,,,,
Aku tidak bisa memahami mengapa mereka selalu harus berbohong.,,,,,,,
Saya sangat tidak suka dengan cara mereka memperlakukan orang lain.,,,,,,,
"Setiap kali saya melihat mereka, saya merasa ingin menjauh.",,,,,,,
"Ketika saya mendengar namanya, saya langsung merasa tidak nyaman.",,,,,,,
Aku tidak bisa menerima bahwa mereka masih diperlakukan dengan baik.,,,,,,,
Saya sangat tidak menyukai cara mereka berbicara tentang orang lain.,,,,,,,
"Ketika saya harus berhadapan dengan situasi itu, saya merasa sangat enggan.",,,,,,,
Aku tidak bisa memahami mengapa mereka tidak bisa berhenti berbohong.,,,,,,,
Saya merasa sangat tidak nyaman ketika harus berbicara tentang mereka.,,,,,,,
"Ketika saya melihat foto mereka, saya langsung merasa tidak suka.",,,,,,,
Saya sangat tidak menyukai cara mereka memandang orang lain.,,,,,,,
Aku tidak bisa menerima bahwa mereka masih diizinkan berbuat semena-mena.,,,,,,,
Saya merasa sangat jijik ketika melihat mereka melakukan hal-hal yang tidak benar.,,,,,,,
Saya sangat tidak suka dengan cara mereka memperlakukan diri sendiri.,,,,,,,
Aku tidak bisa memahami mengapa mereka tidak bisa berubah.,,,,,,,
Saya merasa sangat muak dengan semua kesalahan yang mereka buat.,,,,,,,
Saya sangat tidak menyukai cara mereka berinteraksi dengan orang lain.,,,,,,,
Saya merasa sangat tidak nyaman ketika ada orang yang memaksa saya untuk melakukan sesuatu yang tidak saya sukai.,,,,,,,
"Aku benar-benar muak dengan cara mereka memperlakukan orang lain, seperti tidak ada rasa empati sama sekali.",,,,,,,
"Tadinya saya pikir mereka itu baik, tapi ternyata mereka hanya menggunakan saya untuk kepentingan mereka sendiri.",,,,,,,
Saya tidak bisa menerima kenyataan bahwa orang yang saya percayai ternyata berbohong dan mengkhianati kepercayaan saya.,,,,,,,
Aku merasa enggan untuk berbicara dengan mereka karena mereka selalu mengkritik dan tidak pernah mendukung.,,,,,,,
"Saya merasa benci ketika melihat orang yang hanya memikirkan tentang uang dan kekuasaan, tanpa mempedulikan orang lain.",,,,,,,
Saya merasa sangat terluka ketika orang yang saya cintai meninggalkan saya tanpa alasan yang jelas.,,,,,,,
Aku tidak bisa membantu merasa jijik ketika melihat orang yang memperlakukan anak-anak dengan kasar dan tidak berperikemanusiaan.,,,,,,,
Saya merasa sangat muak dengan cara mereka memanipulasi orang lain untuk mencapai tujuan mereka.,,,,,,,
Saya merasa tidak bisa menerima kenyataan bahwa saya harus bekerja dengan orang yang saya tidak sukai.,,,,,,,
Aku merasa benci ketika melihat orang yang hanya memikirkan tentang diri sendiri dan tidak memperdulikan lingkungan sekitar.,,,,,,,
Saya merasa jijik ketika melihat orang yang memperlakukan hewan dengan kejam dan tidak berperikemanusiaan.,,,,,,,
Saya merasa sangat tidak nyaman ketika ada orang yang memaksa saya untuk melakukan sesuatu yang bertentangan dengan nilai-nilai saya.,,,,,,,
Saya merasa benci ketika melihat orang yang hanya memikirkan tentang kekuasaan dan tidak memperdulikan orang lain.,,,,,,,
Saya merasa sangat terluka ketika orang yang saya percayai ternyata tidak setia dan mengkhianati kepercayaan saya.,,,,,,,
Aku merasa jijik ketika melihat orang yang memperlakukan orang lain dengan tidak adil dan tidak berperikemanusiaan.,,,,,,,
"Saya merasa sangat muak dengan cara mereka memanipulasi orang lain untuk mencapai tujuan mereka, tanpa memperdulikan dampaknya pada orang lain.",,,,,,,
"Saya merasa sangat tidak nyaman ketika dia mendekati saya, bahkan saya tidak ingin berbicara dengannya lagi.",,,,,,,
"Aku ingin melupakan semua kenangan buruk itu, tapi sepertinya itu tidak mudah.",,,,,,,
"Setiap kali saya melihat wajahnya, saya merasa marah dan kecewa.",,,,,,,
Saya merasa seperti ingin menyembunyikan diri dari dunia karena semua kekecewaan yang saya alami.,,,,,,,
Aku tidak tahu bagaimana cara menghadapi seseorang yang membuatku merasa tidak berharga.,,,,,,,
"Saya merasa jijik ketika dia mencoba untuk meminta maaf, tapi tidak ada tindakan nyata untuk berubah.",,,,,,,
"Aku merasa terjebak dalam situasi yang tidak bisa saya kendalikan, dan itu membuatku merasa sangat tidak nyaman.",,,,,,,
Saya tidak bisa membantu tetapi merasa benci kepada diri sendiri karena tidak bisa menghindari semua ini.,,,,,,,
"Aku merasa seperti sedang berjalan di atas tanah yang licin, tidak tahu kapan saya akan jatuh.",,,,,,,
Saya merasa sangat muak dengan semua kebohongan dan manipulasi yang saya alami.,,,,,,,
"Aku ingin menghilangkan semua kenangan buruk itu, tapi itu tidak mudah dilakukan.",,,,,,,
Saya merasa tidak berdaya ketika menghadapi seseorang yang membuatku merasa tidak berharga.,,,,,,,
Aku merasa seperti sedang diaduk-aduk dalam sebuah badai yang tidak berujung.,,,,,,,
"Saya tidak tahu bagaimana cara mengatasi perasaan benci ini, tapi saya tahu itu tidak sehat.",,,,,,,
Aku merasa seperti sedang terjebak dalam sebuah labirin yang tidak ada jalan keluarnya.,,,,,,,
Saya merasa sangat kecewa dengan diri sendiri karena tidak bisa menghindari semua ini.,,,,,,,
Aku merasa seperti sedang berada di tengah-tengah badai yang sangat dahsyat.,,,,,,,
Saya merasa tidak ingin berbicara dengan siapa pun karena semua kekecewaan yang saya alami.,,,,,,,
Aku merasa seperti sedang menyembunyikan diri dari dunia karena semua perasaan negatif yang saya alami.,,,,,,,
Aku merasa sangat jijik ketika melihatnya berbohong di depanku.,,,,,,,
Saya tidak bisa membantu tetapi merasa muak setiap kali bertemu dengan orang itu.,,,,,,,
Kadang aku merasa seperti tidak ingin hidup lagi karena selalu dihina.,,,,,,,
Aku sangat benci dengan cara mereka memperlakukan orang lain.,,,,,,,
Saya merasa tidak nyaman ketika harus berbicara dengan seseorang yang sangat egois.,,,,,,,
Aku tidak bisa menerima bahwa aku harus bekerja sama dengan orang yang tidak aku sukai.,,,,,,,
Saya merasa sangat enggan untuk melakukan sesuatu yang tidak aku sukai.,,,,,,,
"Ketika aku melihat orang itu, aku merasa seperti ingin lari dari situasi itu.",,,,,,,
Aku sangat muak dengan cara mereka berbicara tentang orang lain.,,,,,,,
Saya merasa tidak percaya diri ketika ada orang yang selalu mengejekku.,,,,,,,
Aku merasa seperti ingin menghancurkan segalanya ketika aku merasa sangat jijik.,,,,,,,
Saya tidak bisa menerima bahwa aku harus menerima orang yang tidak aku sukai.,,,,,,,
Aku merasa sangat benci dengan cara mereka memperlakukanku.,,,,,,,
Saya merasa tidak nyaman ketika harus berada di dekat orang yang sangat kasar.,,,,,,,
Aku tidak bisa membantu tetapi merasa muak setiap kali melihat wajah orang itu.,,,,,,,
Saya merasa seperti ingin menangis ketika aku merasa sangat tidak dihargai.,,,,,,,
Aku sangat jijik dengan cara mereka berpakaian yang sangat tidak pantas.,,,,,,,
