,context/intent,question
163,pembahasan,"Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. Aku langsung ke-trigger karena dulu waktu kecil, rumah sering berantakan gara-gara pertengkaran di keluarga. Aku jadi ngerasa kayak kembali ke masa lalu tiba-tiba napas aku jadi berat, terus aku nggak bisa mikir jernih, semuanya ngeblank. Aku pingsan."
164,pembahasan,Aku mau cerita soal mantanku dulu Aku ngerasa kayak aku nggak bisa lepas dari dia.
165,pembahasan,"Dulu, aku sama dia tuh cocok banget, Kak. Aku pikir dia orang yang bisa jadi pasangan serius buat aku. Tapi ya setelah aku tahu dia selingkuh, aku jadi bingung. Aku marah, aku kecewa, tapi aku masih sayang. Aku nggak tahu harus gimana"
166,pembahasan,"Aku kayak nggak percaya, Kak. Aku pikir, aku cukup buat dia. Aku pikir kita serius. Tapi nyatanya dia bisa dekat sama cewek lain dengan gampang."
167,pembahasan,"Iya Aku masih sering kepo media sosialnya, kadang aku juga ketemu dia. Kami masih teman, sih Tapi ya aku nggak tahu ini sehat atau nggak buat aku."
168,pembahasan,Aku mau cerita soal pacarku dulu Aku ngerasa kayak aku itu nggak diprioritaskan sama dia.
169,pembahasan,"Dulu, awal-awal pacaran aku ngerasa diperhatikan banget. Tapi sekarang, dia jarang ngehubungin aku duluan. Kalau aku nggak chat, ya udah, dia juga nggak bakal ngehubungin. Terus kalau aku minta dijemput, dia mau sih, tapi kayak ada syaratnya gitu. Kalau aku beliin dia bensin atau makanan, baru dia jemput. Kalau aku bilang aku nggak punya uang, dia tiba-tiba punya alasan buat nggak bisa ketemu."
170,pembahasan,"Aku kesel, sih. Aku ngerasa kayak aku nggak sepenting itu buat dia. Tapi aku juga bingung Aku sayang sama dia, Kak, tapi aku juga capek."
171,pembahasan,"Iya, kayak aku yang lebih effort dibanding dia. Aku pikir pacaran tuh harusnya bikin bahagia, tapi kenapa aku malah ngerasa kayak gini?"
172,pembahasan,"Iya Aku ngerasa mama lebih perhatian ke adikku dibanding ke aku. Waktu aku sakit beberapa bulan lalu, dokter nyaranin aku buat dirawat, tapi mama lebih pilih buat adikku aja yang dirawat di rumah sakit. Aku cuma disuruh istirahat di rumah."
173,pembahasan,"Sedih banget, Kak. Kayak aku tuh nggak sepenting itu buat mereka. Aku juga sakit, aku juga butuh dirawat, tapi mereka lebih pilih adikku."
174,pembahasan,Pernah Aku bilang ke mama kalau aku juga butuh perhatian. Tapi dia bilang aku jangan banyak permintaan.
175,pembahasan,"Iya, Kak Makanya aku sering diem aja, aku lebih milih nggak cerita lagi ke mama soal perasaanku."
176,pembahasan,Aku nggak suka ada di tempat ramai. Rasanya nggak nyaman. Aku lebih suka sendiri
177,pembahasan,"Dari kecil, kayaknya dari SD Aku nggak suka main keluar, lebih nyaman di rumah aja."
178,pembahasan,Iya Di media sosial lebih gampang. Aku bisa ngobrol sama teman-temanku tanpa harus bertemu langsung.
179,pembahasan,Mereka nggak melihat aku secara langsung Jadi aku nggak perlu khawatir kelihatan aneh atau gimana.
180,pembahasan,"Aku ngerasa kayak nggak ada yang benar-benar suka sama aku. Mereka pikir aku aneh karena aku pendiam, jadi aku lebih milih diem aja."
181,pembahasan,"Iya, mereka pasti mikir aku sombong. Tapi sebenernya aku cuma nggak tahu harus ngomong apa."
182,pembahasan,"Iya Aku memang ingin berbicara soal rasa takut yang sering muncul. Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat, bahkan ketika sedang belajar di kamar."
183,pembahasan,"Misalnya saat aku sedang belajar di kamar, tiba-tiba mendengar suara pintu dapur terbuka, aku langsung kaget dan merasa khawatir. Aku jadi selalu waspada seolah ada sesuatu yang buruk akan terjadi."
184,pembahasan,"Kayak aku takut ketahuan sesuatu. Padahal aku nggak melakukan hal yang salah. Tapi ada rasa seperti dihantui sesuatu, kayak perasaan bersalah yang tidak hilang."
185,pembahasan,"Mungkin sejak kejadian waktu SMA. Waktu itu, keluargaku melakukan ritual komunikasi dengan eyang yang katanya merasuki tubuh tanteku. Tiba-tiba, eyang bilang kalau kakakku sudah melakukan hal yang tidak senonoh dengan pacarnya. Aku benar-benar kaget dan tambah takut karena ibu mendukung pernyataan itu."
186,pembahasan,"kut Aku takut kalau tiba-tiba aku juga ketahuan. Aku tahu aku tidak melakukan hal sejauh kakakku, tapi pacarku dulu memang agak agresif mendekatiku. Aku berusaha menjaga batas, tapi tetap saja, aku takut tiba-tiba disebut melakukan sesuatu yang tidak benar. Aku nggak mau dipermalukan seperti kakakku."
187,pembahasan,"Iya, aku takut banget Setiap hari rasanya seperti ada yang mengawasi dan menilai aku, padahal aku nggak ngapa-ngapain."
188,pembahasan,"Aku merasa ibu tidak pernah memahami aku. Misalnya, waktu aku minta dijemput karena capek kuliah, ibu tetap nyuruh aku pulang naik ojek sendiri. Aku tahu ini mungkin sepele, tapi rasanya kayak aku harus selalu mandiri dan nggak boleh mengeluh. Selain itu, pernah juga saat ada diskusi keluarga tentang liburan, aku ingin ke Taman Safari karena belum pernah lihat binatang secara langsung. Tapi ibu bersikeras memilih Dufan dengan alasan aku dulu pernah bilang ingin ke Dufan. Aku mencoba menjelaskan, tapi malah ibu diam dan mendiamkan aku selama empat hari."
189,pembahasan,"Kesel, sedih, merasa nggak dihargai Aku sering merasa seperti disalahkan hanya karena aku anak tengah. Aku merasa suara dan keinginanku tidak dianggap penting."
190,pembahasan,"Aku merasa sulit berteman, sulit dihargai, dan juga merasa kesulitan dalam belajar sejak awal kuliah. Aku sudah coba beberapa cara untuk mengatasinya, tapi masih ada yang terasa kurang. Aku ingin tahu apakah yang aku lakukan sudah cukup atau masih perlu diperbaiki."
191,pembahasan,"Iya, awalnya aku merasa kaget dengan sistem belajar di kuliah. Dulu waktu sekolah, ujian hanya ada UTS dan UAS. Tapi di kuliah, setiap selesai satu blok materi, langsung ada ujian. Aku jadi kewalahan di awal semester karena harus cepat beradaptasi."
192,pembahasan,"Aku mulai bikin to-do list dan mengatur waktu belajar. Setelah masuk semester kedua, aku sudah mulai terbiasa dan bisa mengikuti materi lebih baik."
193,pembahasan,"Sejauh ini cukup membantu, tapi aku masih ingin tahu apakah ada cara lain yang bisa lebih efektif."
194,pembahasan,"Aku merasa sulit menemukan teman yang satu frekuensi denganku. Aku lebih suka berteman dengan orang yang ada manfaatnya buatku. Kalau mereka pintar di bidang yang aku kurang, aku bisa belajar dari mereka. Tapi kalau menurutku mereka hanya menjadi beban, aku tidak terlalu tertarik untuk berteman dengan mereka."
195,pembahasan,"Kayaknya aku dianggap kurang asik, kurang bisa diajak ngobrol hal-hal santai seperti soal perasaan atau kehidupan pribadi. Aku juga sulit berempati kalau mereka cerita soal pacar atau masalah pribadi."
196,pembahasan,"Sejak SMP. Dulu teman-temanku bilang aku nggak asik karena nggak bisa diajak ngobrol soal pacaran atau hal-hal emosional. Dari situ, aku mulai menjauhi mereka dan hanya berteman dengan yang menurutku berguna buatku."
197,pembahasan,"Sejak kecil, aku merasa tidak ada yang spesial dalam diriku. Orang tuaku sering bilang aku tidak cantik. Rambutku mengembang dan keriting, ibuku tidak suka, jadi sejak kecil aku selalu disuruh rebonding. Sampai sekarang, aku merasa tidak nyaman dengan rambutku sendiri."
198,pembahasan,Iya Aku merasa tidak berharga karena dari kecil aku dianggap kurang oleh keluargaku sendiri.
199,pembahasan,"Ya, aku memang agak terganggu. Saat orientasi kemarin, ada beberapa momen di mana aku merasa ditegur dengan nada yang keras, dan itu bikin aku langsung tegang. Aku jadi emosional, merasa nggak nyaman, dan seperti tertekan"
200,pembahasan,"Seperti ada sesuatu yang langsung menghantam dadaku Aku merasa seperti kembali ke masa-masa dulu, ketika ayah sering menegurku dengan keras. Dulu, kalau aku melakukan sesuatu yang tidak sesuai dengan harapan orang tua, terutama ayah, aku bisa ditegur habis-habisan. Aku tahu maksudnya baik, tapi tetap saja aku merasa sulit."
201,pembahasan,"Iya Dulu aku merasa gagal terus di mata ayah. Ada masa di mana aku melakukan banyak hal yang dia tidak setujui, dan itu membuat hubungan kami memburuk. Aku tahu sebagai anak pertama aku harus jadi contoh, harus bisa memenuhi ekspektasi keluarga. Apalagi ayah praktisi hukum, jadi dia ingin aku serius di bidang ini."
202,pembahasan,"Awalnya aku rasa karena ayah. Aku ingin membuktikan bahwa aku bisa berhasil dan bisa membuatnya bangga. Tapi lama-lama, aku mulai merasa tertarik juga. Aku suka beberapa mata kuliahnya dan mulai merasa nyaman. Aku sering diskusi dengan ayah soal hukum sekarang, dan itu membuat hubungan kami membaik. Aku ingin sukses di bidang ini, bukan hanya untuk ayah, tapi juga untuk diriku sendiri."
203,pembahasan,"Iya Kadang aku takut kalau aku gagal, ayah bakal kecewa lagi. Aku nggak mau mengecewakan dia lagi seperti dulu"
204,pembahasan,Mungkin lebih ke perasaan dalam diriku sendiri Aku hanya ingin memastikan kalau aku bisa melakukan yang terbaik.
205,pembahasan,"Segalanya terasa berat. Aku tidak bisa menyelesaikan tugas-tugasku dengan baik, aku selalu menunda pekerjaan, dan semakin lama semakin banyak yang tertumpuk. Aku juga sadar kalau teman-temanku sudah mulai kesal karena aku kurang bisa berkontribusi dalam tugas kelompok."
206,pembahasan,"Aku mulai mengerjakan tugas, lalu entah bagaimana aku malah terdistraksi. Kadang aku malah bermain handphone, membaca novel, atau tiba-tiba aku merasa mengantuk dan memilih tidur. Saat sadar sudah larut malam, aku panik dan buru-buru mengerjakan, tapi tetap tidak selesai."
207,pembahasan,"Aku merasa sangat bersalah Aku tahu ini salahku, tapi aku tidak bisa mengendalikan diri. Aku hanya ingin berhenti merasa seperti ini."
208,pembahasan,"Mereka mulai mengeluh kalau aku kurang berkontribusi. Beberapa dari mereka mencoba mengingatkanku soal tugas, tapi aku tetap tidak bisa mengerjakan dengan baik. Aku minta maaf, tapi aku tetap mengulangi kesalahan yang sama."
209,pembahasan,"Aku merasa semakin buruk. Aku juga sering berbohong untuk menghindari masalah Aku sudah melakukannya sejak SD. Aku bilang ke guru kalau aku sudah mengumpulkan tugas tapi gurunya yang lupa, atau aku meyakinkan ibu bahwa tugas sudah selesai padahal tidak."
210,pembahasan,"Aku takut dimarahi. Aku benci kalau orang marah padaku Aku pernah ketahuan berbohong dan akibatnya malah lebih parah, tapi tetap saja aku terus melakukannya. Aku seperti refleks berbohong setiap kali merasa terancam."
211,pembahasan,"Ibu sering marah Kalau dia tahu aku tidak mengumpulkan tugas, dia akan berteriak, menjambak, atau memukulku dengan sapu. Aku sangat takut setiap kali dia marah."
212,pembahasan,"Tidak Aku tidak berani. Aku pernah menangis saat dimarahi dan tiba-tiba aku mulai melantur Aku bahkan tidak sadar apa yang aku katakan, tapi aku merasa sangat sakit dan kesepian saat itu."
213,pembahasan,"Ia kaget Dia menangis dan meminta maaf, bahkan akhirnya setuju untuk membiarkan aku mencari bantuan psikolog. Tapi aku tetap takut kalau semuanya akan kembali seperti dulu."
214,pembahasan,"Aku merasa semakin sulit bergaul dengan teman-temanku. Aku sudah mencoba untuk lebih terbuka, tetapi aku tetap merasa mereka tidak menghargai usaha yang aku lakukan. Aku juga merasa tertekan karena nilai IPK-ku tidak mencapai 4.00. Semua orang hanya mengenalku sebagai anak pintar, dan aku takut kalau mereka akan berubah pandangan jika aku tidak mempertahankan itu."
215,pembahasan,"Aku merasa mereka tidak memiliki common sense. Setiap kali aku pergi keluar dengan mereka, aku yang harus mengurus semuanya. Aku harus menyetir, memesan makanan, bahkan membayar untuk mereka. Aku tidak mengerti kenapa mereka tidak bisa lebih mandiri dan bertanggung jawab."
216,pembahasan,Tidak. Aku tidak ingin terlihat lemah atau terlalu banyak menuntut. Aku pikir mereka seharusnya bisa mengerti sendiri tanpa aku harus mengatakan apa-apa.
217,pembahasan,"Ya, karena itu sudah sewajarnya. Tapi ternyata, tidak ada yang paham."
218,pembahasan,"Mungkin, tapi aku tetap merasa standar yang aku tetapkan itu benar. Aku tidak ingin menurunkan standar hanya demi bisa berteman dengan mereka."
219,pembahasan,"Aku takut orang-orang akan menganggap aku tidak sepintar yang mereka pikirkan. Semua orang hanya mengenalku sebagai anak pintar. Jika aku gagal mempertahankan itu, aku merasa mereka akan mulai meremehkan aku."
220,pembahasan,"Aku tidak tahu... Aku takut kehilangan validasi dari mereka. Jika aku tidak pintar, lalu apa yang tersisa dari aku?"
221,intervensi,"Iya, saya ingin belajar. Tapi saya merasa sulit untuk mengontrol perasaan saya."
222,intervensi,"Saya belum tahu, Kak. Kadang saya ingin tetap bersama, tapi kadang saya berpikir mungkin lebih baik sendiri."
223,intervensi,"Saya coba, tapi masih agak sulit fokus."
224,intervensi,"Saya mencoba menenangkan diri dengan mengatakan Its okay, ini cuma sebentar, pasti bisa kok. Tapi tetap saja saya masih merasa cemas."
225,intervensi,"Tidak, mereka justru berusaha memahami saya dan sering memberi motivasi supaya saya lebih tenang."
226,intervensi,"Tidak, Kak. Saya masih bisa mengendalikannya dan saya juga bisa mengabaikannya jika saya tidak ingin berbicara dengannya."
227,intervensi,"Saya sering merasa bahwa pencapaian saya tidak sebesar teman-teman saya. Saya melihat mereka bisa mengatur waktu dengan baik, selalu aktif di kelas, dan sepertinya tidak terlalu kesulitan menghadapi kuliah. Saya takut tidak bisa berperan dengan baik dalam kehidupan saya sendiri."
228,intervensi,Mungkin saya memang terlalu fokus pada kelemahan saya sendiri
229,intervensi,"Iya, mereka selalu ingin saya menjadi kuat. Saya tidak ingin mengecewakan mereka, jadi saya hanya memendam semuanya."
230,intervensi,Saya tidak pernah melihatnya dari sudut pandang itu sebelumnya. Saya biasanya hanya menyalahkan diri sendiri.
231,intervensi,"Saya tidak ingin membicarakan terlalu banyak tentang itu, Kak. Saya hanya merasa malu. Itu adalah masa yang sangat buruk bagi saya."
232,intervensi,"Terima kasih, Kak. Saya tahu saya harus bisa menerima masa lalu, tapi rasanya sulit. Kadang saya merasa ingin melupakan semuanya, tapi di sisi lain saya takut orang lain akan terus mengingatnya."
233,intervensi,"Saya diminta membuat video perkenalan di TikTok. Saya sudah membuatnya, tapi saya takut untuk mengunggahnya. Saya khawatir kalau ada yang melihatnya dan mengenali saya dari foto yang dulu tersebar."
234,intervensi,Saya tidak tahu... mungkin saya akan merasa lebih lega. Tapi saya juga takut kalau ada yang mengomentari sesuatu yang menyakitkan
235,intervensi,"Sejujurnya, saya tidak merasa bersalah. Saya lebih takut kalau teman-teman saya akan menilai saya buruk setelah kejadian itu."
236,intervensi,"Mungkin ada, tapi saya belum tahu caranya. Saya sering merasa kalau saya tidak bisa mengendalikan reaksi saya ketika marah."
237,intervensi,"Saya berasal dari SMK, dan di sana saya lebih banyak praktek daripada teori. Begitu masuk kuliah, saya kesulitan mengikuti mata kuliah yang penuh dengan hitungan seperti rangkaian listrik. Di semester 1 saya hanya mendapat nilai 16 untuk mata kuliah itu, tapi di semester 2 saya sudah berusaha lebih keras dan nilainya naik jadi 50."
238,intervensi,"Saya banyak bertanya kepada teman-teman yang lebih paham. Saya juga mencoba mengulang materi sendiri, tapi tetap terasa sulit bagi saya."
239,intervensi,"Saya sebenarnya ingin mengikuti kelas tambahan atau bimbingan belajar, tapi saya ragu apakah saya masih bisa melanjutkan kuliah."
240,intervensi,"Saya ingin mencari pekerjaan yang masih berhubungan dengan bidang teknik atau pekerjaan yang bisa membantu saya menabung. Kalau bisa, saya ingin bekerja di Maranatha, mungkin sebagai asisten laboratorium atau posisi lain yang memungkinkan."
241,intervensi,"Ayah saya pernah bilang bahwa saya ini aneh, bahwa saya merasakan hal yang tidak wajar."
242,intervensi,"Biasanya muncul saat saya merasa sendirian. Ketika saya melihat teman-teman yang bisa bermain bersama, tapi saya tidak pernah diajak. Rasanya saya tidak dibutuhkan dan tidak ada yang peduli jika saya ada atau tidak."
243,intervensi,"Hanya ayah saya. Tapi seperti yang saya bilang, dia malah memarahi saya"
244,intervensi,"Saya ingin punya teman, tapi saya tidak tahu bagaimana memulainya."
245,intervensi,Tapi saya takut mereka tidak akan peduli dengan saya.
246,intervensi,"Saya sebenarnya suka bahasa Mandarin dan budaya Cina, makanya saya mengambil program ini."
247,intervensi,Itu bisa dicoba. Saya ingin punya teman yang bisa mengerti saya.
248,intervensi,"Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi."
249,intervensi,"Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya."
250,intervensi,Saya mengerti. Saya akan coba perlahan.
251,intervensi,Tapi bagaimana caranya? Saya masih merasa marah dan kecewa.
252,intervensi,Tapi saya tidak tahu bagaimana cara mengekspresikannya dengan benar.
253,intervensi,"Pernah, tapi saya tidak begitu paham bagaimana cara melakukannya."
254,intervensi,"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya."
255,intervensi,"Baik, saya akan mencoba. Tapi mungkin saya butuh latihan dulu."
256,intervensi,"Iya. Saya takut kalau saya memaksa, saya akan dianggap membangkang atau tidak menghormati dosen."
257,intervensi,"Tidak, saya tidak pernah mencatatnya."
258,intervensi,"Oke, saya bisa coba"
259,intervensi,Orang tua saya tidak akan senang kalau saya pergi ke psikiater. Nenek saya dulu ke psikiater dan selalu diberi obat dalam jumlah banyak. Akhirnya dia malah terkena diabetes. Orang tua saya tidak ingin hal itu terjadi pada saya.
260,intervensi,Mungkin... Tapi saya juga tidak yakin. Saya tidak mau ada orang lain yang tahu soal ini.
261,intervensi,"Mencatat? Untuk apa, Kak?"
262,intervensi,"Oke, saya akan coba."
263,intervensi,"Itu susah, Kak. Saya bahkan tidak tahu harus mulai dari mana."
264,intervensi,"Iya, saya ingin tinggal hanya dengan ibu. Saya merasa lebih bisa bercerita kepadanya, meskipun kami juga sering bertengkar."
265,intervensi,"Tidak, saya tidak mau ke psikiater. Saya tidak mau minum obat seperti nenek saya dulu."
266,intervensi,Tapi orang tua saya tidak akan setuju
267,intervensi,"Aku sebenarnya lebih bisa memahami materi jika belajar bersama. Tapi karena aku belum punya teman dekat di kampus, aku lebih banyak belajar sendiri."
268,intervensi,Rasanya nyaman. Aku bisa cerita banyak hal tanpa merasa takut dihakimi.
269,intervensi,"Biasanya kalau aku ketahuan melanggar aturan yang ibuku buat. Kalau aku ketahuan pacaran, ikut organisasi, atau melakukan hal di luar akademik, pasti langsung dimarahi."
270,intervensi,"Maksudnya bagaimana, Kak?"
271,intervensi,"Maaf, Kak, ibuku marah besar. Aku harus pulang sekarang."
272,intervensi,"Mungkin aku harus coba, ya?"
273,intervensi,Aku mau tapi aku nggak tahu gimana caranya.
274,intervensi,Aku mau tapi aku takut.
275,intervensi,"Mungkin karena aku merasa mereka lebih kompetitif? Aku ngerasa nggak punya tempat di sana. Aku takut kalau aku berusaha lebih keras, aku malah dinilai sok atau jadi saingan mereka."
276,intervensi,"Aku belum pernah coba, tapi aku mau coba kalau itu bisa membantu."
277,intervensi,"Iya, Kak Aku jadi takut kalau kejadian itu bakal terulang lagi."
278,intervensi,"Kayaknya lebih banyak negatifnya, Kak. Aku jadi overthinking terus. Kayak dia masih peduli nggak, ya? Atau aku cuma jadi cadangan buat dia?"
279,intervensi,"Maksudnya gimana, Kak?"
280,intervensi,"Sebagian besar sih karena mantanku, tapi ada juga karena kuliah. Aku jadi nggak fokus, Kak. Aku gampang terdistraksi, sering kepikiran mantanku pas lagi belajar atau pas di kampus."
281,intervensi,"Kayaknya nggak, Kak. Tapi aku juga nggak tahu harus gimana."
282,intervensi,"Aku suka nulis Tapi kadang kalau aku udah terlalu sedih, aku malah nyakitin diri sendiri."
283,intervensi,Nggak Aku takut kalau mereka nggak mau ngobrol balik atau malah cuek.
284,intervensi,Mungkin bisa dicoba Tapi gimana kalau mereka nggak balas?
285,intervensi,"Iya Kadang aku berpikir, apakah aku ini salah terus di mata mereka?"
286,intervensi,Iya Aku akan coba
287,intervensi,"Kadang nyaman, kadang nggak. Aku suka kalau punya teman yang bisa diajak diskusi soal akademik, tapi aku juga merasa ada sesuatu yang kurang. Kayak, kok rasanya aku tetap merasa nggak sepenuhnya diterima?"
288,intervensi,"Nggak pernah. Aku merasa ibuku adalah sosok yang sulit aku dekati. Aku ingin dekat, tapi nggak tahu bagaimana caranya."
289,intervensi,"Itu masuk akal Aku ingin sukses bukan hanya karena ayah, tapi juga karena aku suka bidang ini."
290,intervensi,"Aku biasanya menyendiri, mendengarkan musik, atau menulis jurnal. Tapi kadang aku hanya menahan semuanya sendiri dan itu rasanya nggak enak."
291,intervensi,Itu terdengar lebih terarah Aku bisa coba itu!
292,intervensi,"Ya, mungkin seperti itu."
293,intervensi,Aku tidak tahu. Aku tidak terbiasa memikirkan hal-hal seperti itu.
294,relaksasi,Itu masuk akal. Saya memang sering merasa seperti membeku saat dimarahi.
295,relaksasi,"Iya, saya pikir itu satu-satunya cara agar saya bisa membantu keluarga dan tidak terlalu membebani mereka."
296,relaksasi,"Itu masuk akal, Kak. Saya memang selalu berpikir bahwa saya akan dipermalukan, padahal kenyataannya teman-teman saya baik-baik saja."
297,relaksasi,"Oke, Kak."
298,relaksasi,Saya ingin fokus kuliah dan memperbaiki diri. Saya ingin keluarga saya bisa melihat saya sebagai pribadi yang normal.
299,relaksasi,"Iya aku tahu ini nggak baik, tapi selalu aja kejadian kayak gini."
300,relaksasi,Biasanya saat aku sendirian atau saat aku merasa sangat stres. Terutama kalau aku sedang diperlakukan tidak adil oleh orang tua atau saat aku diingatkan tentang masa lalu.
301,relaksasi,"Ada, aku nggak suka pelajaran yang terlalu banyak hitung-hitungan atau yang harus ngapalin rumus-rumus. Kalau mata kuliah itu, aku langsung kehilangan semangat buat belajar."
302,relaksasi,"Aku mau coba, tapi gimana caranya?"
303,relaksasi,Kayaknya bisa dicoba tapi aku takut kalau mereka nggak nerima aku.
304,relaksasi,Nggak biasanya aku cuma menyendiri aja sampai perasaannya hilang sendiri.
305,relaksasi,Itu masuk akal sih aku nggak pernah coba cara-cara itu sebelumnya.
306,relaksasi,"Wah ternyata ini lumayan membantu, ya."
307,relaksasi,"Wah, aku jadi lebih tenang Aku bakal coba latihan ini kalau panik lagi."
308,relaksasi,"Belum sih Aku biasanya malah tenggelam di media sosial, stalking dia atau nge-scroll tanpa tujuan."
309,relaksasi,"Wow aku jadi lebih tenang, Kak."
310,relaksasi,Oke Aku coba deh.
311,relaksasi,Belum Tapi aku biasanya mendengarkan musik atau menyendiri.
312,relaksasi,Rasanya lebih enak Kayaknya aku bisa coba ini kalau sedang cemas.
313,relaksasi,"Iya, mereka baik. Aku merasa nyaman, tapi kadang aku masih ragu untuk cerita lebih banyak"
314,relaksasi,Ya Aku mau mencoba.
315,relaksasi,"Oke, aku bisa coba itu."
316,relaksasi,Itu terdengar masuk akal Aku sering merasa kewalahan kalau harus mengerjakan semuanya sekaligus.
317,relaksasi,"Aku tidak tahu apakah itu akan membantu, tapi aku bisa mencobanya."
318,relaksasi,"Aku tidak yakin bisa melakukannya. Aku merasa kalau aku menurunkan standar, aku akan ikut menjadi seperti mereka."
319,relaksasi,Aku akan coba memikirkannya... Tapi aku masih merasa sulit untuk benar-benar mengubah cara pandangku.
320,solusi,"Saya mencoba, tapi saya masih kesulitan fokus."
321,solusi,Saya merasa lebih nyaman. Saya paling suka gerakan menyentuh dada dengan lembut dan memeluk diri sendiri.
322,solusi,Saya merasa lebih tenang setelah melakukan ini.
323,solusi,"Saya merasa lebih tenang setelah mencoba ini, Kak."
324,solusi,"Iya, itu benar. Saya memang menikmati perkuliahan, walaupun saya masih beradaptasi."
325,solusi,Saya merasa lebih tenang setelah mencoba ini.
326,solusi,"Saya suka latihan ini, Kak. Saya merasa lebih baik setelah mengatakannya."
327,solusi,Itu terdengar mudah. Saya akan mencobanya jika merasa marah lagi.
328,solusi,"Itu terdengar seperti ide yang baik. Saya tidak ingin terus menyimpan dendam, tapi saya juga tidak mau berhubungan lagi dengannya."
329,solusi,"Itu terdengar lebih sopan, tapi tetap menyampaikan apa yang saya inginkan ya?"
330,solusi,"Itu bisa dicoba, Kak. Tapi aku takut orang-orang sudah punya kelompoknya masing-masing."
331,solusi,"Aku akan coba lebih aktif berbicara, Kak."
332,solusi,"Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres."
333,solusi,Hmm... aku tidak tahu apakah itu bisa berhasil. Tapi mungkin aku bisa mencoba.
334,solusi,"Tidak usah, Kak. Aku takut nanti malah tambah parah. Aku akan coba bicara sendiri nanti."
336,solusi,"Maksudnya gimana, Kak?"
337,penutupan,Oke... Saya akan pikirkan lagi.
338,penutupan,Mungkin... Saya tidak tahu. Saya harus berpikir dulu.
339,penutupan,"Baik, aku akan mencobanya."
340,penutupan,"Baik, Kak. Terima kasih banyak."
341,penutupan,"Iya, Kak. Aku bakal coba. Terima kasih sudah mendengarkan."
342,penutupan,"Iya, Kak. Itu kayaknya bisa membantu banget."
343,penutupan,"Terima kasih, Kak. Aku nggak nyangka aku bisa cerita sejauh ini"
344,penutupan,"Terima kasih, Kak. Aku akan coba semuanya, semoga bisa lebih baik."
345,penutupan,"Iya, Kak. Aku bakal coba Aku juga mau lanjut konseling sih, mungkin ini bisa membantu aku pelan-pelan."
346,penutupan,"Iya, Kak. Aku akan coba semuanya. Aku jadi merasa lebih punya kendali atas situasi ini."
347,penutupan,"Iya Aku akan coba, Kak. Terima kasih sudah mendengarkan aku."
348,penutupan,"Iya Aku akan coba, Kak. Terima kasih sudah mendengarkan aku."
349,penutupan,"Iya, aku akan coba Terima kasih, Kak."
350,penutupan,"Iya, aku merasa lebih lega setelah bicara ini. Terima kasih, Kak"
351,penutupan,"Iya, aku akan coba. Aku merasa lebih lega setelah membicarakannya."
352,penutupan,"Terima kasih juga, Kak. Aku merasa lebih lega setelah membicarakannya. Aku akan coba mulai menulis jurnal dan lebih terbuka dengan teman-temanku."
353,penutupan,Itu sulit Tapi aku bisa coba.
354,penutupan,"Terima kasih, Kak. Aku merasa sedikit lebih lega Walaupun aku tahu ini tidak akan mudah."
355,penutupan,"Aku rasa cukup untuk hari ini. Aku merasa lebih baik setelah berbicara, meskipun aku masih belum yakin dengan semuanya."
356,penutupan,"Baik, aku akan mencoba. Terima kasih, Kak."
