question,intent
Tapi aku juga bingung… ,Reaksi Terkejut dan Tidak Terduga
Aku cuma disuruh istirahat di rumah.,Reaksi Terkejut dan Tidak Terduga
"Misalnya saat aku sedang belajar di kamar, tiba-tiba mendengar suara pintu dapur terbuka",Reaksi Terkejut dan Tidak Terduga
"Waktu itu, keluargaku melakukan ritual komunikasi dengan eyang yang katanya merasuki tubuh tanteku. ",Reaksi Terkejut dan Tidak Terduga
merasa nggak dihargai… ,Reaksi Terkejut dan Tidak Terduga
awalnya aku merasa kaget dengan sistem belajar di kuliah,Reaksi Terkejut dan Tidak Terduga
Awalnya… aku rasa karena ayah. ,Reaksi Terkejut dan Tidak Terduga
"Ia kaget… Dia menangis dan meminta maaf, bahkan akhirnya setuju untuk membiarkan aku mencari bantuan psikolog.",Reaksi Terkejut dan Tidak Terduga
"Saya melihat mereka bisa mengatur waktu dengan baik, selalu aktif di kelas, dan sepertinya tidak terlalu kesulitan menghadapi kuliah.",Reaksi Terkejut dan Tidak Terduga
Saya tidak pernah melihatnya dari sudut pandang itu sebelumnya.,Reaksi Terkejut dan Tidak Terduga
Saya diminta membuat video perkenalan di TikTok. ,Reaksi Terkejut dan Tidak Terduga
"Mungkin ada, tapi saya belum tahu caranya. ",Reaksi Terkejut dan Tidak Terduga
Aku belum pernah coba,Reaksi Terkejut dan Tidak Terduga
Saya takut tidak bisa menjelaskan,Perasaan Takut dan Kecemasan
"Saya merasa agak gugup, kak.",Perasaan Takut dan Kecemasan
"tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B",Perasaan Takut dan Kecemasan
aku masih merasa nggak nyaman dengan beberapa hal,Perasaan Takut dan Kecemasan
"Aku memang penasaran sih, apakah yang aku lakukan untuk menghadapi masalahku selama ini sudah benar atau belum",Perasaan Takut dan Kecemasan
"Baik kak, walaupun masih agak canggung sih karena belum pernah konseling sebelumnya",Perasaan Takut dan Kecemasan
Aku merasa sangat lelah dan bingung dengan semuanya.,Perasaan Takut dan Kecemasan
"Sejujurnya, aku merasa lebih buruk dibandingkan sesi sebelumnya.",Perasaan Takut dan Kecemasan
Saya merasa tidak percaya diri,Perasaan Takut dan Kecemasan
Saya takut melakukan kesalahan karena ayah saya bisa marah dan memukul saya. ,Perasaan Takut dan Kecemasan
Saya bingung dengan hubungan saya ,Perasaan Takut dan Kecemasan
"Saya merasa bingung, karena kami sudah hampir tiga tahun bersama, tapi akhir-akhir ini rasanya berbeda.",Perasaan Takut dan Kecemasan
Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.,Perasaan Takut dan Kecemasan
"Saya selalu merasa takut, tangan saya gemetar, dan sulit berkata-kata.",Perasaan Takut dan Kecemasan
"tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",Perasaan Takut dan Kecemasan
Saya merasa sangat gugup,Perasaan Takut dan Kecemasan
tapi saya takut salah bicara.,Perasaan Takut dan Kecemasan
Saya merasa kecewa dan putus asa.,Perasaan Takut dan Kecemasan
Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat.,Perasaan Takut dan Kecemasan
Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. ,Perasaan Takut dan Kecemasan
Mereka sering bertengkar tentang hal itu.,Perasaan Takut dan Kecemasan
Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. ,Perasaan Takut dan Kecemasan
Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. ,Perasaan Takut dan Kecemasan
Saya tidak ingin marah karena takut dianggap anak yang durhaka.,Perasaan Takut dan Kecemasan
"Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah.",Perasaan Takut dan Kecemasan
Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.,Perasaan Takut dan Kecemasan
"Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah.",Perasaan Takut dan Kecemasan
"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. ",Perasaan Takut dan Kecemasan
"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. ",Perasaan Takut dan Kecemasan
"Ya, saya merasa tidak aman. ",Perasaan Takut dan Kecemasan
"Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih.",Perasaan Takut dan Kecemasan
Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik.,Perasaan Takut dan Kecemasan
"Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya",Perasaan Takut dan Kecemasan
"Saya takut kalau saya membela diri, dia akan semakin marah. ",Perasaan Takut dan Kecemasan
Iya. Saya mulai sulit percaya pada orang lain. ,Perasaan Takut dan Kecemasan
"Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. ",Perasaan Takut dan Kecemasan
Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. ,Perasaan Takut dan Kecemasan
"Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. ",Perasaan Takut dan Kecemasan
"Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. ",Perasaan Takut dan Kecemasan
"Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut.",Perasaan Takut dan Kecemasan
Kadang muncul sebelum tidur atau saat saya merasa stres,Perasaan Takut dan Kecemasan
Rasanya agak canggung,Perasaan Takut dan Kecemasan
Aku benar-benar takut ,Perasaan Takut dan Kecemasan
"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. ",Perasaan Takut dan Kecemasan
Tapi aku juga takut. ,Perasaan Takut dan Kecemasan
"Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",Perasaan Takut dan Kecemasan
Aku juga ingin bisa menghindari konflik. ,Perasaan Takut dan Kecemasan
Aku nggak tahu lagi harus gimana… ,Perasaan Takut dan Kecemasan
Tapi jadinya aku harus pintar bagi waktu,Perasaan Takut dan Kecemasan
tapi aku takut. ,Perasaan Takut dan Kecemasan
"Kalau ada yang lihat aku sebentar aja, aku langsung mikir… ‘apa mereka mikir aku aneh?  Apa mereka nggak suka aku?’ Pokoknya overthinking terus.",Perasaan Takut dan Kecemasan
Mungkin saat aku sedang bersama teman-teman atau di tempat umum. ,Perasaan Takut dan Kecemasan
tapi aku tetap nggak bisa menghilangkan pikiran itu.,Perasaan Takut dan Kecemasan
"Jadi aku kepikiran, gimana kalau dia juga cerita tentang aku ke orang lain?",Perasaan Takut dan Kecemasan
Belum… aku takut kalau aku ngomong,Perasaan Takut dan Kecemasan
Iya… aku takut dibilang lebay atau nggak percaya sama dia.,Perasaan Takut dan Kecemasan
cuma kadang masih kepikiran aja.,Perasaan Takut dan Kecemasan
Tapi suara-suara itu… mereka nggak berhenti. ,Perasaan Takut dan Kecemasan
"Aku merasa seharusnya aku bilang ke orang lain, tapi aku takut dimarahi",Perasaan Takut dan Kecemasan
Tapi aku masih merasa takut… ,Perasaan Takut dan Kecemasan
Iya… Aku nggak bisa bilang apa-apa ke mereka,Perasaan Takut dan Kecemasan
karena takut salah atau semakin dianggap bodoh,Perasaan Takut dan Kecemasan
"Iya… jadi misalnya aku lagi di tempat umum, tiba-tiba ada orang yang lihat aku, entah itu sengaja atau nggak… aku langsung kepikiran, 'Apa mereka tahu tentang aku? ",Perasaan Takut dan Kecemasan
"Kadang aku coba buat nggak dengerin, tapi rasanya susah. ",Perasaan Takut dan Kecemasan
Iya… aku takut kalau videonya viral terus ada yang ngeh sama aku. ,Perasaan Takut dan Kecemasan
Sudah… tapi aku belum berani upload. Sudah… tapi aku belum berani upload. ,Perasaan Takut dan Kecemasan
Tapi… aku juga kadang merasa aneh sendiri karena dulu aku trauma,Perasaan Takut dan Kecemasan
Aku juga mulai mengalami panic attack,Perasaan Takut dan Kecemasan
Jadi otakku tuh kayak kebagi-bagi terus.,Perasaan Takut dan Kecemasan
"Rasanya panik, Kak",Perasaan Takut dan Kecemasan
Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. ,Perasaan Takut dan Kecemasan
Aku ngerasa kayak… aku nggak bisa lepas dari dia.,Perasaan Takut dan Kecemasan
Tapi ya… aku nggak tahu ini sehat atau nggak buat aku.,Perasaan Takut dan Kecemasan
"Waktu aku sakit beberapa bulan lalu, dokter nyaranin aku buat dirawat",Perasaan Takut dan Kecemasan
Mereka nggak melihat aku secara langsung…,Perasaan Takut dan Kecemasan
Tapi sebenernya aku cuma nggak tahu harus ngomong apa.,Perasaan Takut dan Kecemasan
"Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat",Perasaan Takut dan Kecemasan
dan merasa khawatir. ,Perasaan Takut dan Kecemasan
Kayak… aku takut ketahuan sesuatu. ,Perasaan Takut dan Kecemasan
Aku takut kalau tiba-tiba aku juga ‘ketahuan’. ,Perasaan Takut dan Kecemasan
"Iya, aku takut banget… ",Perasaan Takut dan Kecemasan
"Saat orientasi kemarin, ada beberapa momen di mana aku merasa ditegur dengan nada yang keras",Perasaan Takut dan Kecemasan
Seperti ada sesuatu yang langsung menghantam dadaku… ,Perasaan Takut dan Kecemasan
"Apalagi ayah praktisi hukum, jadi dia ingin aku serius di bidang ini.",Perasaan Takut dan Kecemasan
"Iya… Kadang aku takut kalau aku gagal, ",Perasaan Takut dan Kecemasan
"Saat sadar sudah larut malam, aku panik dan buru-buru mengerjakan, tapi tetap tidak selesai.",Perasaan Takut dan Kecemasan
tapi aku tidak bisa mengendalikan diri.,Perasaan Takut dan Kecemasan
Beberapa dari mereka mencoba mengingatkanku soal tugas,Perasaan Takut dan Kecemasan
Aku juga sering berbohong untuk menghindari masalah… ,Perasaan Takut dan Kecemasan
Aku takut dimarahi. ,Perasaan Takut dan Kecemasan
Ibu sering marah… Aku sangat takut setiap kali dia marah.,Perasaan Takut dan Kecemasan
Tidak… Aku tidak berani. ,Perasaan Takut dan Kecemasan
Tapi aku tetap takut kalau semuanya akan kembali seperti dulu.,Perasaan Takut dan Kecemasan
"Semua orang hanya mengenalku sebagai ‘anak pintar’, dan aku takut kalau mereka akan berubah pandangan jika aku tidak mempertahankan itu.",Perasaan Takut dan Kecemasan
Aku tidak ingin terlihat lemah atau terlalu banyak menuntut.,Perasaan Takut dan Kecemasan
"Aku takut orang-orang akan menganggap aku tidak sepintar yang mereka pikirkan. Semua orang hanya mengenalku sebagai ‘anak pintar’. Jika aku gagal mempertahankan itu, aku merasa mereka akan mulai meremehkan aku.",Perasaan Takut dan Kecemasan
"Aku takut kehilangan validasi dari mereka. Jika aku tidak pintar, lalu apa yang tersisa dari aku?",Perasaan Takut dan Kecemasan
tapi di sisi lain saya takut orang lain akan terus mengingatnya.,Perasaan Takut dan Kecemasan
tapi saya takut untuk mengunggahnya. ,Perasaan Takut dan Kecemasan
 Tapi saya juga takut kalau ada yang mengomentari sesuatu yang menyakitkan,Perasaan Takut dan Kecemasan
Saya lebih takut kalau teman-teman saya akan menilai saya buruk setelah kejadian itu.,Perasaan Takut dan Kecemasan
Saya sering merasa kalau saya tidak bisa mengendalikan reaksi saya ketika marah.,Perasaan Takut dan Kecemasan
tapi saya ragu apakah saya masih bisa melanjutkan kuliah.,Perasaan Takut dan Kecemasan
Biasanya muncul saat saya merasa sendirian. ,Perasaan Takut dan Kecemasan
Tapi saya takut mereka tidak akan peduli dengan saya.,Perasaan Takut dan Kecemasan
"Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",Perasaan Takut dan Kecemasan
Tapi saya tidak tahu bagaimana cara mengekspresikannya dengan benar.,Perasaan Takut dan Kecemasan
"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",Perasaan Takut dan Kecemasan
"Saya takut kalau saya memaksa, saya akan dianggap membangkang atau tidak menghormati dosen.",Perasaan Takut dan Kecemasan
Nenek saya dulu ke psikiater dan selalu diberi obat dalam jumlah banyak. Akhirnya dia malah terkena diabetes. ,Perasaan Takut dan Kecemasan
"Itu susah, Kak. Saya bahkan tidak tahu harus mulai dari mana.",Perasaan Takut dan Kecemasan
"Kalau aku ketahuan pacaran, ikut organisasi, atau melakukan hal di luar akademik, pasti langsung dimarahi.",Perasaan Takut dan Kecemasan
"Maaf, Kak, ibuku marah besar. ",Perasaan Takut dan Kecemasan
Aku mau… tapi aku takut.,Perasaan Takut dan Kecemasan
Mungkin karena aku merasa mereka lebih kompetitif? ,Perasaan Takut dan Kecemasan
Aku jadi takut kalau kejadian itu bakal terulang lagi.,Perasaan Takut dan Kecemasan
"Aku jadi nggak fokus, Kak. ",Perasaan Takut dan Kecemasan
"Tapi kadang kalau aku udah terlalu sedih, aku malah nyakitin diri sendiri.",Perasaan Takut dan Kecemasan
Aku takut kalau mereka nggak mau ngobrol balik atau malah cuek.,Perasaan Takut dan Kecemasan
Mungkin bisa dicoba… Tapi gimana kalau mereka nggak balas?,Perasaan Takut dan Kecemasan
"Aku merasa ibuku adalah sosok yang sulit aku dekati. Aku ingin dekat, tapi nggak tahu bagaimana caranya.",Perasaan Takut dan Kecemasan
"Oke, Kak.",Perasaan Takut dan Kecemasan
Tapi aku takut orang-orang sudah punya kelompoknya masing-masing.,Perasaan Takut dan Kecemasan
aku tidak tahu apakah itu bisa berhasil. ,Perasaan Takut dan Kecemasan
. Aku takut nanti malah tambah parah. ,Perasaan Takut dan Kecemasan
meskipun aku masih belum yakin dengan semuanya.,Perasaan Takut dan Kecemasan
tetapi saya masih sering merasa lelah dan mudah kesal,Perasaan Marah dan Frustasi
Awalnya saya merasa kesal,Perasaan Marah dan Frustasi
"Dia biasanya bisa mengerti, tapi karena ini terjadi berkali-kali, akhirnya kami sering bertengkar. ",Perasaan Marah dan Frustasi
"Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. ",Perasaan Marah dan Frustasi
Saya merasa malu dan salah. ,Perasaan Marah dan Frustasi
"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. ",Perasaan Marah dan Frustasi
"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter.",Perasaan Marah dan Frustasi
Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. ,Perasaan Marah dan Frustasi
"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. ",Perasaan Marah dan Frustasi
Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. ,Perasaan Marah dan Frustasi
Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. ,Perasaan Marah dan Frustasi
"Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. ",Perasaan Marah dan Frustasi
Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.,Perasaan Marah dan Frustasi
dan sedikit marah,Perasaan Marah dan Frustasi
"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B.",Perasaan Marah dan Frustasi
Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. ,Perasaan Marah dan Frustasi
"Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. ",Perasaan Marah dan Frustasi
Aku merasa benar-benar tidak punya ruang pribadi.,Perasaan Marah dan Frustasi
"Aku marah, Kak. ",Perasaan Marah dan Frustasi
Katanya aku ketua yang nggak kerja.,Perasaan Marah dan Frustasi
padahal aku juga udah capek sama kuliah dan kerja magang,Perasaan Marah dan Frustasi
"Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari.",Perasaan Marah dan Frustasi
"Ya, tugas banyak banget. ",Perasaan Marah dan Frustasi
"Ada sih beberapa teman, tapi aku nggak mau kelihatan lemah.",Perasaan Marah dan Frustasi
tapi rasanya aku nggak berguna dan lebih baik nggak ada saja.,Perasaan Marah dan Frustasi
"Aku mau masuk arsitektur, tapi dilarang. ",Perasaan Marah dan Frustasi
aku mulai kepikiran buat nyakitin diri sendiri. ,Perasaan Marah dan Frustasi
tapi di dalam kepalaku rasanya berantakan banget,Perasaan Marah dan Frustasi
malah makin stres,Perasaan Marah dan Frustasi
Aku marah,Perasaan Marah dan Frustasi
Tapi nyatanya dia bisa dekat sama cewek lain dengan gampang.,Perasaan Marah dan Frustasi
"Aku kesel, sih",Perasaan Marah dan Frustasi
"Kesel, ",Perasaan Marah dan Frustasi
sulit dihargai,Perasaan Marah dan Frustasi
Ada masa di mana aku melakukan banyak hal yang dia tidak setujui,Perasaan Marah dan Frustasi
"Setiap kali aku pergi keluar dengan mereka, aku yang harus mengurus semuanya. Aku harus menyetir, memesan makanan, bahkan membayar untuk mereka.",Perasaan Marah dan Frustasi
"Ya, karena itu sudah sewajarnya.",Perasaan Marah dan Frustasi
Tapi saya merasa sulit untuk mengontrol perasaan saya.,Perasaan Marah dan Frustasi
"Saya belum tahu, Kak. Kadang saya ingin tetap bersama, tapi kadang saya berpikir mungkin lebih baik sendiri.",Perasaan Marah dan Frustasi
tapi masih agak sulit fokus,Perasaan Marah dan Frustasi
"Saya tidak ingin mengecewakan mereka, jadi saya hanya memendam semuanya.",Perasaan Marah dan Frustasi
Rasanya saya tidak dibutuhkan dan tidak ada yang peduli jika saya ada atau tidak.,Perasaan Marah dan Frustasi
Saya masih merasa marah dan kecewa.,Perasaan Marah dan Frustasi
Itu masuk akal. Saya memang sering merasa seperti membeku saat dimarahi,Perasaan Marah dan Frustasi
"Iya, saya pikir itu satu-satunya cara agar saya bisa membantu keluarga dan tidak terlalu membebani mereka.",Perasaan Marah dan Frustasi
"Iya… aku tahu ini nggak baik, tapi selalu aja kejadian kayak gini.",Perasaan Marah dan Frustasi
Biasanya saat aku sendirian… atau saat aku merasa sangat stres. Terutama kalau aku sedang diperlakukan tidak adil oleh orang tua atau saat aku diingatkan tentang masa lalu.,Perasaan Marah dan Frustasi
"Ada, aku nggak suka pelajaran yang terlalu banyak hitung-hitungan atau yang harus ngapalin rumus-rumus. Kalau mata kuliah itu, aku langsung kehilangan semangat buat belajar.",Perasaan Marah dan Frustasi
Kayaknya bisa dicoba… tapi aku takut kalau mereka nggak nerima aku.,Perasaan Marah dan Frustasi
Nggak… biasanya aku cuma menyendiri aja sampai perasaannya hilang sendiri.,Perasaan Marah dan Frustasi
"Belum sih… Aku biasanya malah tenggelam di media sosial, stalking dia atau nge-scroll tanpa tujuan.",Perasaan Marah dan Frustasi
tapi kadang aku masih ragu untuk cerita lebih banyak,Perasaan Marah dan Frustasi
"Aku tidak yakin bisa melakukannya. Aku merasa kalau aku menurunkan standar, aku akan ikut menjadi seperti mereka.",Perasaan Marah dan Frustasi
Tapi aku masih merasa sulit untuk benar-benar mengubah cara pandangku,Perasaan Marah dan Frustasi
tapi saya masih kesulitan fokus,Perasaan Marah dan Frustasi
"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini",Perasaan Sebelum Menghadapi Kejadian
Saya tidak tahu bagaimana harus mulai menceritakan semuanya,Perasaan Sebelum Menghadapi Kejadian
Saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik,Perasaan Sebelum Menghadapi Kejadian
Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.,Perasaan Sebelum Menghadapi Kejadian
Saya ingin memiliki hubungan pertemanan yang baik,Perasaan Sebelum Menghadapi Kejadian
tapi tetap masih ada rasa cemas dengan kuliah,Perasaan Sebelum Menghadapi Kejadian
"Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar",Perasaan Sebelum Menghadapi Kejadian
"Baik, tapi sebenarnya masih sering merasa cemas sih, kak",Perasaan Sebelum Menghadapi Kejadian
"Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",Perasaan Sebelum Menghadapi Kejadian
Saya ingin membahas tentang hubungan saya dengan pacar dulu. ,Perasaan Sebelum Menghadapi Kejadian
tapi lama-lama saya juga mulai terbiasa sendiri,Perasaan Sebelum Menghadapi Kejadian
saya selalu meminta maaf,Perasaan Sebelum Menghadapi Kejadian
Saya ingin membicarakan tentang kecemasan saya ketika harus berbicara di depan umum. ,Perasaan Sebelum Menghadapi Kejadian
Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. ,Perasaan Sebelum Menghadapi Kejadian
Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.,Perasaan Sebelum Menghadapi Kejadian
"Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. ",Perasaan Sebelum Menghadapi Kejadian
"Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial.",Perasaan Sebelum Menghadapi Kejadian
ada saat di mana saya merasa perlu diperhatikan oleh orang lain,Perasaan Sebelum Menghadapi Kejadian
"Saya merasa cukup cemas, Kak. ",Perasaan Sebelum Menghadapi Kejadian
Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah.,Perasaan Sebelum Menghadapi Kejadian
Saya berpikir untuk mencari pekerjaan dulu. ,Perasaan Sebelum Menghadapi Kejadian
"Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",Perasaan Sebelum Menghadapi Kejadian
Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. ,Perasaan Sebelum Menghadapi Kejadian
Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,Perasaan Sebelum Menghadapi Kejadian
Tapi saya juga tidak ingin menyakiti perasaannya,Perasaan Sebelum Menghadapi Kejadian
Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu,Perasaan Sebelum Menghadapi Kejadian
dan cemas setelah beliau mengetahuinya.,Perasaan Sebelum Menghadapi Kejadian
Aku tidak mau terus-menerus merasa putus asa,Perasaan Sebelum Menghadapi Kejadian
"Aku kuliah, magang, terus masih harus ngurus organisasi juga. ",Perasaan Sebelum Menghadapi Kejadian
Aku pikir bisa dijalanin. ,Perasaan Sebelum Menghadapi Kejadian
Aku ngerasa nggak bisa ninggalin salah satu,Perasaan Sebelum Menghadapi Kejadian
Sering… Aku kepikiran keluar dari organisasi,Perasaan Sebelum Menghadapi Kejadian
Aku harus cari cara buat bertahan sendiri.,Perasaan Sebelum Menghadapi Kejadian
Aku selalu kepikiran tentang apa yang orang lain pikirkan tentang aku. ,Perasaan Sebelum Menghadapi Kejadian
Ya… aku pengen ngerasa lebih percaya diri. ,Perasaan Sebelum Menghadapi Kejadian
"Iya, Kak. Aku juga nggak mau terlalu ekstrim sih",Perasaan Sebelum Menghadapi Kejadian
Aku sudah mencoba beberapa kali,Perasaan Sebelum Menghadapi Kejadian
"Aku ikut UKM karena syarat beasiswa, Kak",Perasaan Sebelum Menghadapi Kejadian
Aku bisa ngobrol sama teman-temanku tanpa harus bertemu langsung.,Perasaan Sebelum Menghadapi Kejadian
Jadi aku nggak perlu khawatir kelihatan aneh atau gimana.,Perasaan Sebelum Menghadapi Kejadian
Iya… Aku memang ingin berbicara soal rasa takut yang sering muncul. ,Perasaan Sebelum Menghadapi Kejadian
Aku jadi selalu waspada seolah ada sesuatu yang buruk akan terjadi.,Perasaan Sebelum Menghadapi Kejadian
Aku berusaha menjaga batas,Perasaan Sebelum Menghadapi Kejadian
"Selain itu, pernah juga saat ada diskusi keluarga tentang liburan, aku ingin ke Taman Safari karena belum pernah lihat binatang secara langsung.",Perasaan Sebelum Menghadapi Kejadian
Aku mulai bikin to-do list dan mengatur waktu belajar. ,Perasaan Sebelum Menghadapi Kejadian
tapi aku masih ingin tahu apakah ada cara lain yang bisa lebih efektif.,Perasaan Sebelum Menghadapi Kejadian
Aku lebih suka berteman dengan orang yang ada manfaatnya buatku. ,Perasaan Sebelum Menghadapi Kejadian
"Dari situ, aku mulai menjauhi mereka dan hanya berteman dengan yang menurutku ‘berguna’ buatku.",Perasaan Sebelum Menghadapi Kejadian
Aku ingin membuktikan bahwa aku bisa berhasil dan bisa membuatnya bangga. ,Perasaan Sebelum Menghadapi Kejadian
Aku nggak mau mengecewakan dia lagi seperti dulu,Perasaan Sebelum Menghadapi Kejadian
Aku hanya ingin memastikan kalau aku bisa melakukan yang terbaik.,Perasaan Sebelum Menghadapi Kejadian
Aku hanya ingin berhenti merasa seperti ini.,Perasaan Sebelum Menghadapi Kejadian
Aku bilang ke guru kalau aku sudah mengumpulkan tugas tapi gurunya yang lupa,Perasaan Sebelum Menghadapi Kejadian
"Aku sudah mencoba untuk lebih terbuka, tetapi aku tetap merasa mereka tidak menghargai usaha yang aku lakukan. ",Perasaan Sebelum Menghadapi Kejadian
Aku tidak ingin menurunkan standar hanya demi bisa berteman dengan mereka.,Perasaan Sebelum Menghadapi Kejadian
"Saya mencoba menenangkan diri dengan mengatakan ‘It’s okay, ini cuma sebentar, pasti bisa kok’. ",Perasaan Sebelum Menghadapi Kejadian
 Saya takut tidak bisa berperan dengan baik dalam kehidupan saya sendiri.,Perasaan Sebelum Menghadapi Kejadian
 Saya sudah membuatnya,Perasaan Sebelum Menghadapi Kejadian
Saya banyak bertanya kepada teman-teman yang lebih paham. ,Perasaan Sebelum Menghadapi Kejadian
Saya sebenarnya ingin mengikuti kelas tambahan atau bimbingan belajar,Perasaan Sebelum Menghadapi Kejadian
Saya ingin mencari pekerjaan yang masih berhubungan dengan bidang teknik atau pekerjaan yang bisa membantu saya menabung. ,Perasaan Sebelum Menghadapi Kejadian
Orang tua saya tidak ingin hal itu terjadi pada saya.,Perasaan Sebelum Menghadapi Kejadian
Saya tidak mau ada orang lain yang tahu soal ini.,Perasaan Sebelum Menghadapi Kejadian
saya ingin tinggal hanya dengan ibu,Perasaan Sebelum Menghadapi Kejadian
Aku sebenarnya lebih bisa memahami materi jika belajar bersama. ,Perasaan Sebelum Menghadapi Kejadian
Biasanya kalau aku ketahuan melanggar aturan yang ibuku buat. ,Perasaan Sebelum Menghadapi Kejadian
Aku mau… tapi aku nggak tahu gimana caranya.,Perasaan Sebelum Menghadapi Kejadian
"Aku jadi overthinking terus. Kayak… dia masih peduli nggak, ya? Atau aku cuma jadi cadangan buat dia?",Perasaan Sebelum Menghadapi Kejadian
Tapi aku juga nggak tahu harus gimana.,Perasaan Sebelum Menghadapi Kejadian
"Aku biasanya menyendiri, mendengarkan musik, atau menulis jurnal. ",Perasaan Sebelum Menghadapi Kejadian
Aku tidak terbiasa memikirkan hal-hal seperti itu.,Perasaan Sebelum Menghadapi Kejadian
"Itu masuk akal, Kak. Saya memang selalu berpikir bahwa saya akan dipermalukan, padahal kenyataannya teman-teman saya baik-baik saja.",Perasaan Sebelum Menghadapi Kejadian
Itu masuk akal sih… aku nggak pernah coba cara-cara itu sebelumnya.,Perasaan Sebelum Menghadapi Kejadian
"Wah… ternyata ini lumayan membantu, ya.",Perasaan Sebelum Menghadapi Kejadian
"Wah, aku jadi lebih tenang… Aku bakal coba latihan ini kalau panik lagi.",Perasaan Sebelum Menghadapi Kejadian
"Wow… aku jadi lebih tenang, Kak.",Perasaan Sebelum Menghadapi Kejadian
Belum… Tapi aku biasanya mendengarkan musik atau menyendiri.,Perasaan Sebelum Menghadapi Kejadian
Rasanya lebih enak… Kayaknya aku bisa coba ini kalau sedang cemas.,Perasaan Sebelum Menghadapi Kejadian
"Iya mereka baik. Aku merasa nyaman,",Perasaan Sebelum Menghadapi Kejadian
