question,stage,reference,intent_override
"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",pembahasan,"Itu wajar. Tapi dengan komunikasi yang asertif, kamu bisa mengungkapkan perasaanmu tanpa menyulut konflik. Kadang, orang lain tidak menyadari bahwa tindakan mereka menyakiti kita, dan kita perlu memberi tahu mereka dengan cara yang baik.",
"Saya suka latihan ini, Kak. Saya merasa lebih baik setelah mengatakannya.",relaksasi,Bagus! Kamu bisa melakukan ini setiap hari untuk membantumu mengubah cara berpikir dan membangun kepercayaan diri.,Menyatakan Perasaan Sedih dan Kehilangan
"Saya merasa lebih tenang setelah mencoba ini, Kak.",relaksasi,Itu bagus! Kamu bisa menggunakan teknik ini kapan pun kamu merasa tegang atau emosional.,Menyatakan Perasaan Sedih dan Kehilangan
"Kadang aku coba buat nggak dengerin, tapi rasanya susah. Aku jadi panik, jantungku berdetak cepat, tanganku dingin, dan aku cuma mau cepat-cepat pergi. Kadang aku juga cuma bisa diam, nggak bisa bergerak, tapi di dalam kepalaku rasanya berantakan banget",solusi,"Kamu sudah mengalami ini sejak lama, ya? Dari SMP?",Menyatakan Perasaan Sedih dan Kehilangan
"Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",relaksasi,Jadi kamu merasa lebih nyaman bersama ibumu?,Menyatakan Perasaan Sedih dan Kehilangan
Saya merasa lebih tenang setelah mencoba ini.,relaksasi,Bagus! Kamu bisa menggunakan teknik ini setiap kali merasa cemas atau kesulitan berkonsentrasi.,Menyatakan Perasaan Sedih dan Kehilangan
"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.",pembahasan,Apakah kamu bisa menceritakan bagaimana awal mula kesalahpahaman ini terjadi?,
"Masih sulit, Kak. Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu",solusi,"Itu usaha yang baik, S. Apakah ada cara belajar tertentu yang menurutmu lebih efektif?",Menyatakan Perasaan Sedih dan Kehilangan
"Halo Kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya. Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar. Itu cukup membantu.",solusi,Itu kabar yang baik! Senang mendengar bahwa strategi yang kita bahas sebelumnya bisa membantumu. Apa ada hal lain yang ingin kamu ceritakan hari ini?,Menyatakan Perasaan Sedih dan Kehilangan
Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. Rasanya ingin membalas atau bahkan melukai mereka. Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,pembahasan,Kemarahan yang kamu rasakan ini sering muncul dalam situasi tertentu saja atau bisa terjadi kapan saja?,
"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",relaksasi,Kamu merasa kurang nyaman dengan teman-teman sekelas karena sesuatu yang spesifik?,Menyatakan Perasaan Sedih dan Kehilangan
Itu terdengar masuk akal… Aku sering merasa kewalahan kalau harus mengerjakan semuanya sekaligus.,intervensi,"Tepat sekali. Kita mulai dari langkah kecil. Lalu, kalau kamu merasa sangat cemas atau ingin berbohong, coba ambil napas dalam-dalam dan tanyakan pada dirimu sendiri: 'Apa yang sebenarnya aku takutkan?' dan 'Apakah ada cara lain untuk menghadapi ini selain berbohong?",
