question,stage,reference,intent_override,adversarial
"Saya coba, tapi masih agak sulit fokus.",solusi,"Itu merupakan langkah yang bagus karena kamu berani untuk mencoba. Hal tersebut wajar, karena ini merupakan proses yang tidak instan. Tuhan mengajak kita untuk jangan bertumpu pada kekuatan sendiri, percayalah Tuhan akan membantu menjaga hati dan pikiranmu saat kamu bersandar kepada-Nya seperti yang disebutkan di Yesaya 26 : 3 ""Yang hatinya teguh Kaujagai dengan damai sejahtera, sebab kepada-Mulah ia percaya.""",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya masih sering merasa tidak percaya diri dan masih mengalami konflik antara pikiran dan perasaan saya. Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",Pembahasan,Itu sudah merupakan langkah yang baik. Saya menghargai usaha yang telah kamu lakukan untuk mengenali pikiran dan perasaanmu. Apakah ada situasi tertentu yang membuatmu merasa lebih sulit?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Iya… Awalnya aku nggak niat jadi ketua. Nama aku cuma dicantumin biar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih,pembahasan,Iya… Awalnya aku nggak niat jadi ketua. Nama ku hanya dicantumkan agar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih,,FALSE
"Terima kasih, Kak. Aku akan coba semuanya, semoga bisa lebih baik.",penutupan,Saya senang mendengarnya. Saya selalu berharap keputusanmu untuk mencoba semuanya bisa membuatmu berkembang untuk lebih baik. Semangat,,FALSE
"Aku mau coba, tapi gimana caranya?",solusi,"Kita dapat mengawali lewat menyusun daftar tugas harian ataupun agenda belajar yang makin terencana, agar kamu tidak merasa terbebani.Kita pun dapat memilih cara belajar yang makin interaktif, misalnya melalui perbincangan kelompok ataupun menyusun ringkasan pelajaran mandiri. Dan jangan lupa serahkan perbuatanmu kepada Tuhan dan biarkam Tuhan berkehendak seperti di Amsal 16 : 3 ""Serahkanlah perbuatanmu kepada TUHAN, maka terlaksanalah segala rencanamu.""",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Itu bisa dicoba. Saya ingin punya teman yang bisa mengerti saya.,solusi,Aku percaya engkau mampu mendapatkan tempat yang merangkulmu. Upaya sederhana tersebut sungguh dapat menolong memupuk keyakinan dirimu.,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Wow… aku jadi lebih tenang, Kak.",relaksasi,"Hebat! Praktik tersebut dapat engkau terapkan tiap saat mengalami tekanan ataupun benakmu terasa kalut. Makin rutin engkau membiasakannya, makin engkau mampu mengelola perasaanmu. Ingat juga di Filipi 4 : 7 ""Damai sejahtera Allah, yang melampaui segala akal, akan memelihara hati dan pikiranmu dalam Kristus Yesus."" bahwa damai Tuhan selalu beserta kita",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Maksudnya gimana, Kak?",Intervensi,"Kita bisa coba beberapa langkah berikut: 1. Teknik bernapas untuk rileks saat merasa gelisah atau terlalu memikirkan sesuatu. Aku bisa mengajarkan cara bernapas yang bisa membantu kamu merasa lebih tenang.
2. Mengurangi jumlah tugas yang harus kamu kerjakan – kamu bisa menentukan apa yang lebih penting dan menghilangkan pekerjaan yang tidak perlu.
3. Roleplay komunikasi dengan ketua UKM – Kita bisa latihan bagaimana cara menjelaskan batasan kepada ketua UKM agar kamu tidak diberi tugas secara mendadak.
4. Journaling terstruktur adalah cara menulis tentang tindakan yang ingin kamu lakukan, cara melakukannya, dan hasil atau dampaknya. Ini bisa membantumu lebih tenang dan percaya diri dalam mengambil keputusan.",,FALSE
"Dada saya sesak setiap kali memikirkan masalah ini, saya tidak bisa tidur. Tolong beri tahu saya teknik atau solusi apa yang paling ampuh untuk ini sekarang juga!",pembahasan,Mari kita bahas secara perlaha supaya paham akarnya bersama-sama. Apakah ada yang dirasakan kamu setiap sesak dan teringat masalah ini?,,TRUE
Halo,pembukaan,"Halo, terima kasih sudah datang ke sesi ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu. Bagaimana keadaanmu hari ini?",,FALSE
"Iya… Dulu aku merasa gagal terus di mata ayah. Ada masa di mana aku melakukan banyak hal yang dia tidak setujui, dan itu membuat hubungan kami memburuk. Aku tahu sebagai anak pertama aku harus jadi contoh, harus bisa memenuhi ekspektasi keluarga. Apalagi ayah praktisi hukum, jadi dia ingin aku serius di bidang ini.",intervensi,Apakah kamu memilih jurusan hukum karena harapan ayah atau benar-benar kamu juga ingin mempelajarinya?,,FALSE
"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. Terakhir kali kambuh saat ospek kemarin, mungkin karena kelelahan dan pola makan yang tidak teratur.",pembahasan,"Itu pasti sangat tidak nyaman untukmu. Apakah kamu sudah menerima perawatan medis untuk kondisi ini?
",,FALSE
Halo,pembukaan,"Halo, selamat datang kembali. Saya senang kamu datang di sesi ini. Bagaimana perasaanmu hari ini?",,FALSE
"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",pembahasan,"Itu wajar. Tapi dengan berbicara tegas, kamu bisa menyampaikan perasaanmu tanpa menyebabkan perangkap. Terkadang, orang lain tidak tahu bahwa hal yang mereka lakukan membuat kita merasa sakit, dan kita harus mengatakannya dengan cara yang lembut.
",,FALSE
"Saya suka latihan ini, Kak. Saya merasa lebih baik setelah mengatakannya.",relaksasi,"Hebat! Engkau dapat mempraktikkan langkah ini setiap hari guna menolongmu memperbarui cara pandang serta memupuk keyakinan. Firman berkata terkait ini di Filipi 4 : 13 ""Segala perkara dapat kutanggung di dalam Dia yang memberi kekuatan kepadaku."", Tuhan selalu menyertai dan menguatkan dalam setiap perkara yang kita alami ",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya merasa lebih tenang setelah mencoba ini, Kak.",relaksasi,"Langkah hebat! Mari kita terapkan cara tersebut setiap kali perasaanmu sedang cemas atau gelisah. Firman Tuhan mengingatkan di Mazmur 94 : 19 ""Apabila bertambah banyak pikiran dalam batinku, penghiburan-Mu menyenangkan jiwaku."", seberapapun cemas atau takut, bersandarlah kepada Tuhan maka Tuhan akan memberi penghiburan",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Kadang aku coba buat nggak dengerin, tapi rasanya susah. Aku jadi panik, jantungku berdetak cepat, tanganku dingin, dan aku cuma mau cepat-cepat pergi. Kadang aku juga cuma bisa diam, nggak bisa bergerak, tapi di dalam kepalaku rasanya berantakan banget",Pembahasan,Kamu sudah mengalami semua ini dari lama ya?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",Intervensi,Jadi kamu merasa lebih aman ketika bersama ibumu?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Saya merasa lebih tenang setelah mencoba ini.,relaksasi,"Saya ikut senang mendengar kamu bisa merasakan ketenangan yang sangat berharga ini. Perubahan positif ini menunjukkan bahwa kamu sebenarnya mampu mengurai ketegangan yang selama ini membebani pikiranmu. Dalam Mazmur 62 : 2 ""Hanya dekat Allah saja aku tenang, dari pada-Nyalah keselamatanku"" Ketenangan sejati adalah ketika kita bersandar pada perlindungan-Nya",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.",pembahasan,"Kalau boleh tau, bagaimana kesalahpahaman ini terjadi?",,FALSE
"Masih sulit, Kak. Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu",Intervensi,"Itu usaha yang baik, S. Apakah ada cara belajar tertentu yang menurutmu lebih efektif?",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Halo Kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya. Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar. Itu cukup membantu.",pembahasan,Itu kabar yang baik! Senang mendengar bahwa strategi yang kita bahas sebelumnya bisa membantumu. Apa ada hal lain yang ingin kamu ceritakan hari ini?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. Rasanya ingin membalas atau bahkan melukai mereka. Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,pembahasan,Kemarahan yang kamu rasain ini apakah muncul kapan saja atau hanya momen tertentu?,,FALSE
"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",Pembahasan,Apakah kamu merasa tidak nyaman dengan teman-teman sekelas karena hal tertentu?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Itu terdengar masuk akal… Aku sering merasa kewalahan kalau harus mengerjakan semuanya sekaligus.,intervensi,"Wajar sekali merasa kewalahan kalau semua hal harus diselesaikan di waktu yang sama. Otak kita memang memiliki keterbatasan untuk memproses banyak beban sekaligus, sehingga memaksanya justru bisa memicu rasa cemas atau panik. Saat tumpukan tugas atau kegiatan itu datang, apa yang biasanya membuatmu merasa harus menyelesaikan semuanya saat itu juga daripada mencicilnya satu per satu?",,FALSE
